OTU,Achromobacter.xylosoxidans,Acinetobacter.baumannii,Aggregatibacter.actinomycetemcomitans,Aggregatibacter.aphrophilus,Agrobacterium.fabrum,Agrobacterium.radiobacter,Anaerococcus.prevotii,Anaerolinea.thermophila,Arcanobacterium.haemolyticum,Atopobium.parvulum,Bacillus.anthracis,Bacillus.clausii,Bacillus.subtilis,Bifidobacterium.animalis,Bifidobacterium.breve,Bifidobacterium.dentium,Bifidobacterium.longum,Bordetella.pertussis,Burkholderia.cepacia,Caldilinea.aerophila,Campylobacter.concisus,Campylobacter.curvus,Capnocytophaga.ochracea,Chlamydophila.pneumoniae,Chlorobium.limicola,Comamonas.testosteroni,Corynebacterium.diphtheriae,Corynebacterium.urealyticum,Cronobacter.malonaticus,Cronobacter.sakazakii,Cryptobacterium.curtum,Cutibacterium.avidum,Delftia.acidovorans,Eggerthella.lenta,Enterococcus.faecalis,Escherichia.coli,Eubacterium.limosum,Filifactor.alocis,Finegoldia.magna,Fretibacterium.fastidiosum,Fusobacterium.nucleatum,Gardnerella.vaginalis,Haemophilus.ducreyi,Haemophilus.influenzae,Haemophilus.parainfluenzae,Helicobacter.pylori,Ignavibacterium.album,Klebsiella.pneumoniae,Kytococcus.sedentarius,Lactobacillus.acidophilus,Lactobacillus.amylovorus,Lactobacillus.brevis,Lactobacillus.buchneri,Lactobacillus.casei,Lactobacillus.crispatus,Lactobacillus.fermentum,Lactobacillus.gasseri,Lactobacillus.johnsonii,Lactobacillus.paracasei,Lactobacillus.plantarum,Lactobacillus.reuteri,Lactobacillus.rhamnosus,Lactobacillus.salivarius,Lactococcus.lactis,Leptotrichia.buccalis,Listeria.monocytogenes,Melioribacter.roseus,Mesorhizobium.loti,Moraxella.catarrhalis,Mycobacterium.leprae,Mycobacterium.neoaurum,Mycobacterium.tuberculosis,Mycoplasma.fermentans,Neisseria.gonorrhoeae,Neisseria.lactamica,Neisseria.meningitidis,Ochrobactrum.anthropi,Olsenella.uli,Porphyromonas.asaccharolytica,Porphyromonas.gingivalis,Prevotella.denticola,Prevotella.intermedia,Prevotella.melaninogenica,Propionibacterium.acnes,Proteus.mirabilis,Pseudomonas.aeruginosa,Pseudomonas.fluorescens,Pseudomonas.stutzeri,Pseudopropionibacterium.propionicum,Ralstonia.pickettii,Rhodobacter.capsulatus,Rothia.dentocariosa,Rothia.mucilaginosa,Saccharimonas.aalborgensis,Sanguibacter.keddieii,Staphylococcus.aureus,Staphylococcus.epidermidis,Staphylococcus.warneri,Stenotrophomonas.maltophilia,Streptococcus.agalactiae,Streptococcus.anginosus,Streptococcus.constellatus,Streptococcus.cristatus,Streptococcus.gordonii,Streptococcus.intermedius,Streptococcus.mitis,Streptococcus.mutans,Streptococcus.oralis,Streptococcus.parasanguinis,Streptococcus.pneumoniae,Streptococcus.pyogenes,Streptococcus.salivarius,Streptococcus.sanguinis,Tannerella.forsythia,Treponema.denticola,Treponema.pallidum,Variovorax.paradoxus,Veillonella.parvula,Yersinia.pestis
OB_S426_A10000000_D100_R1000_Centrifuge,84353.5,212299,31302,9115,19294,0,7328.5,13746.5,7687,6061.5,168966,16524,83087.5,76001,21944,10205,149388,61853.5,25113,19999,8020.5,7689.5,10131.5,0,10705.5,20807,235724,24700.5,0,71155.5,6349,0,26538,14043.5,43035.5,1368180,16885,7498.5,6966.5,8931.5,17100,21778.5,6687.5,82555,8165.5,63343.5,14107.5,136892,10879,30352.5,8104.5,26380,19777,168296,8019.5,32108.5,7332.5,35252,0,142930,57969.5,118922,17080.5,136282,9472,312712,12657.5,27524,7262,49920,21116,166742,15076.5,23906.5,8728,170172,18643.5,8023,8591.5,30143.5,11433.5,10653,12529.5,170738,33112,207135,100548,93501.5,0,82405.5,14672.5,9817,8844,0,16506.5,304636,30918,9465.5,73678,42281.5,37179,66803.5,0,8498,25774,8755.5,17377.5,7774,18373,440864,204316,28919.5,9239.5,13353,10844.5,78841,79751.5,8380.5,229769
OB_S426_A10000000_D100_R1000_Constrains,33272,86335,87716,94572,0,0,101277,0,0,104872,70029,94624,75514,106887,121910,92139,101329,109932,10728,0,93968,94868,102662,0,100438,0,89531,101008,0,42827,0,0,102767,104303,104370,87720,96371,0,0,0,76181,0,0,88587,88491,82973,0,68049,0,96900,85532,493805,0,97676,78238,92578,92433,81125,549587,84062,87188,87704,77756,0,89909,60012,0,0,0,103547,0,103666,106244,218317,384723,97112,34460,0,101197,100240,103773,0,54676,103390,93829,89559,30434,60730,0,22598,97276,99223,99695,0,0,93689,92828,67125,0,99060,104078,0,0,107235,0,1336272,99303,90720,78607,90214,96651,78732,98821,0,101091,102448,0,58115,100887
OB_S426_A10000000_D100_R1000_Kraken,159221,210476,51264,18207,38445,0,14654,27495,15371,12121,243574,33046,151873,150357,36147,20411,96861,63991,50222,39998,16043,15375,20264,0,21412,41611,249120,36301,0,134582,12698,0,52363,28086,69358,668104,33771,14967,13912,20065,34171,38543,13291,133342,16083,126385,28214,175847,21759,30826,15987,36185,38775,129053,15956,48746,14570,59324,0,69034,80971,114682,28478,167427,18945,275127,25315,55043,14525,50657,42232,274566,0,34060,17173,85989,36983,16048,17183,55216,22866,20918,24881,65812,61417,302556,200731,176147,0,142654,29291,19633,17690,0,33014,99479,39328,18886,144956,24385,24771,43471,0,16926,45641,16382,31567,15096,33771,409501,99084,50904,18387,26446,21691,16280,159107,16762,24545
OB_S426_A10000000_D100_R1000_MetaPhlan2,33272,86335,87716,94572,0,0,101277,0,0,104872,70029,94624,75514,106887,121910,92139,101329,109932,10728,0,93968,94868,102662,0,100438,0,89531,101008,0,42827,0,0,102767,104303,104370,87720,96371,0,0,0,76181,0,0,88587,88491,82973,0,68049,0,96900,85532,493805,0,97676,78238,92578,92433,81125,549587,84062,87188,87704,77756,0,89909,60012,0,0,0,103547,0,103666,106244,218317,384723,97112,34460,0,101197,100240,103773,0,54676,103390,93829,89559,30434,60730,0,22598,97276,99223,99695,0,0,93689,92828,67125,0,99060,104078,0,0,107235,0,1336272,99303,90720,78607,90214,96651,78732,98821,0,101091,102448,0,58115,100887
OB_S426_A10000000_D100_R1000_PathoScope2,159618,210166.5,52598,16669,38469,51769,14593,27493.5,15167,12124,243938,32872,158785.5,150798,45506.5,19754,161216,63763,50141.5,39998,16031,15350,20256,47624,21411.5,41470,249254,36526.5,0,134684.5,12690,19162,52909.5,28097,69093.5,1244770,33732,15028,14124,17862,34199,38631,12998.5,134789,15459.5,126427,28213.5,209501,21710,31433,15806,35761.5,38548,137415,16020,49877.5,11714,62031,1967,147953.5,80681,115478.5,28350,169755,18913,275255.5,25315,55033,14405,50669,42104,274112,16378,11639,19516,209965.5,36960,16024,17115,55842.5,23443,20430.5,24822,156740.5,61111.5,305489,206062.5,176588.5,26782,142708,29290,19563,17618,0,32947,376445,39938,18534,145272,48482.5,63209,23921,13561.5,12686.5,53799.5,8606.5,31069,11433,32496.5,426634,218677,50482,25261.5,26037,21636,79711,159540.5,16750,430636
OB_S426_A10000000_D100_R1000_Sigma,0,307337.9,44017.7,27480.1,57872.8,77934.9,22049.3,0,0,18239.1,365241.7,0,0,204401.3,0,30717.2,188541.5,0,0,0,24143.2,23142.2,30501.9,71243.5,32225.6,0,0,43504.9,0,68999.1,19113.8,0,80068.8,42274,65577,1872952.5,0,0,20977.4,0,25728.4,18455.7,0,101515.4,0,132711,0,236954.8,32749.5,46209.1,0,46164.2,0,124856,0,53482.2,22016.7,24333.9,47618.7,139762,53114.2,140937.2,0,216372.4,28508.8,345898.7,0,0,0,75970.4,0,409178,24180.9,45714.8,0,186082.6,55661.3,0,0,44077.4,0,0,0,171449,67123.3,419660.8,154166.2,77325.3,0,120148.95,0,0,26627.1,0,49692.5,489348.2,49925.3,0,110705.4,57467.9,0,0,0,25672.7,0,25213.8,36072.7,0,0,559825.5,255527,0,27959.3,0,0,116969.3,79407.1,25222.6,637676.4
OB_S426_A10000000_D100_R1000_Taxator-tk,122661,196803,47884,528,1349,0,822,1378,866,162,43353,1341,153324,138199,25114,507,152190,7666,3230,3163,1021,737,2137,0,1642,1824,243592,22002,0,127756,240,279,2761,2323,60002,1215878,1493,986,652,2461,28262,27050,363,128748,441,125888,1693,194725,1408,1851,949,18242.5,35581,127860,636,42775,373,53618,0,137861,73225,107806,23908,160410,1902,265896,778,3508,445,3934,1317,86312,4620.5,19596,644,176743,1697.5,446,2166,51108.5,1447,2888,2659,0,52035,287550,114034,144771,1863,66346,1729,946,826,0,1164,364779,18922,605,132079,36234,32466,2416,868,500,37917,1022,26091,305,27018,398072,212174,45906,787,3024,1889,35076,123847,816,194100
OB_S426_A10000000_D100_R150_Centrifuge,88067,222902,34808,9073,19153,0,7274,13831.5,7734,5998.5,140281,16697,88063.5,75528,24425,10201.5,155238,61344.5,25108,19986,7804.5,7670,10293.5,0,10755.5,20772.5,242547,26313,0,75043.5,6309,0,26396.5,14177,49330,1304041,16821,7648,7002.5,9889,17382,23354.5,6604.5,93820,8305.5,63947.5,14291,170578,10691.5,30691.5,8138.5,28720.5,20222,179227,8002,38980.5,7356.5,37783.5,0,162818,60400.5,133260,17901.5,165224,9685.5,307244,12923.5,27392,7271,50528.5,21111,150877,15817,26822.5,8984,180633,18831,7914.5,8455.5,33323,11333.5,10718,12353,153936,36082,264308,101165,97763.5,0,82723.5,14528.5,9873.5,8776,0,16595,267854,32570,9847.5,73976,46321,39499.5,68415.5,0,8539,29451,9383,19131,7997.5,19076.5,380292,208808,30272,9349,13430.5,10982,59454.5,79741,8229.5,221576
OB_S426_A10000000_D100_R150_Constrains,33267,82276,84929,86627,0,0,89398,0,0,90079,78280,88691,74606,90202,113852,82075,87975,95772,14546,0,86052,87324,90872,0,90177,0,82578,87725,0,52073,0,0,100261,89686,90767,83606,87434,0,0,0,75936,0,0,85106,86270,81765,0,77125,0,90624,87424,417499,0,94868,76167,85612,93807,77498,528076,81141,83716,84879,77292,0,87886,67082,0,0,0,92382,0,90532,93771,329414,516813,98444,35233,0,86788,86833,88904,0,46563,88966,86227,84616,37140,57803,0,21633,87643,89928,85957,0,0,87152,87851,73944,0,89603,122768,0,0,98762,0,1561190,90301,144661,79162,86196,88988,75581,98376,0,87987,89701,0,52083,89289
OB_S426_A10000000_D100_R150_Kraken,159088,209312,50986,18036,38117,0,14548,27661,15445,11997,243520,33393,143514,149242,35702,20401,80982,63189,50199,39972,15609,15338,20587,0,21511,41522,249747,36350,0,134191,12618,0,51927,28354,69748,546753,33642,15258,13984,20154,34658,39109,13053,133171,16158,126592,28581,151206,21383,30940,15912,36722,38789,117714,15791,48829,14435,58671,0,52391,80558,114598,28180,166595,19371,275871,25846,54783,14541,50918,42221,273556,0,33425,17009,67236,37351,15829,16910,54170,22650,20961,24504,53301,61545,302836,201518,175024,0,143016,29007,19734,17547,0,33190,82668,38815,19427,144907,20568,22318,41981,0,16897,44708,16384,31231,14960,33496,408308,69397,50968,18477,26562,21964,10243,158890,16459,14131
OB_S426_A10000000_D100_R150_MetaPhlan2,33267,82276,84929,86627,0,0,89398,0,0,90079,78280,88691,74606,90202,113852,82075,87975,95772,14546,0,86052,87324,90872,0,90177,0,82578,87725,0,52073,0,0,100261,89686,90767,83606,87434,0,0,0,75936,0,0,85106,86270,81765,0,77125,0,90624,87424,417499,0,94868,76167,85612,93807,77498,528076,81141,83716,84879,77292,0,87886,67082,0,0,0,92382,0,90532,93771,329414,516813,98444,35233,0,86788,86833,88904,0,46563,88966,86227,84616,37140,57803,0,21633,87643,89928,85957,0,0,87152,87851,73944,0,89603,122768,0,0,98762,0,1561190,90301,144661,79162,86196,88988,75581,98376,0,87987,89701,0,52083,89289
OB_S426_A10000000_D100_R150_PathoScope2,160040,210408,51138.5,17928.5,38114,51966.5,14541,27661,15363.5,11996.5,243708,33346.5,158689,150354,37366.5,20368,168353.5,63266,50190,39971,15615,15323.5,20586.5,47640,21510.5,41502,249867.5,36294.5,0,134025,12612.5,19419.5,51787.5,28354,70016.5,1251283.5,33640,15124,14023,18758,34705,39077,13012.5,133549.5,16041.5,126601.5,28583,207456,21381.5,31190.5,15865.5,36630.5,38695,138102,15617,49127.5,14264,59181,3015.5,147412,80745.5,114385,28151,170547,19371.5,275939.5,25844,54790,14505.5,50905.5,42205.5,273123,16585.5,32071.5,15899,192728,37333.5,15829,16901.5,54666,22651.5,20895.5,24514.5,155666.5,61457.5,305379,201605,175512.5,26931.5,143134,29003,19728.5,17538,0,33186.5,376726.5,39101,19201,144829.5,49565.5,45921.5,51592.5,16456.5,16828.5,41756.5,15912,31317.5,14585,33408,415246,218483.5,50842,18412,26360,21957,79957,158965.5,16459,427600
OB_S426_A10000000_D100_R150_Sigma,0,291615.5,49938.7,25776.1,53957,73528.8,20593.2,0,0,16973.7,344078.8,0,0,194925.7,0,28876,201850.6,0,0,0,22086.7,21709.9,29134.5,67233.7,30436.8,0,0,43779.9,0,97054.7,17852.7,0,75025.9,40134.6,82860,1767241.1,0,0,19874.1,0,24651.5,18193.4,0,130775.9,0,136444.8,0,262308.9,30268.4,43967.7,0,46357.7,0,129573,0,59577.9,20616.9,33128.3,51715.5,167009,58682.9,145141.7,0,220371.3,27418.9,350999.1,0,0,0,71938.9,0,384550.8,23101.5,46308.1,0,210178.9,52866,0,0,58004.4,0,0,0,178857,77161.1,417052.2,145696.4,104863,0,112623.44,0,0,24855.4,0,46974.5,492994.3,49409.7,0,107099.4,61744.9,0,0,0,24525.6,0,23886.8,39450,0,0,556296.2,276821.6,0,26791.6,0,0,111677.2,76020.8,23294,601212.4
OB_S426_A10000000_D100_R150_Taxator-tk,89686.5,174695,38806,259,561.5,0,408,791,446.5,62,15135.5,734.5,148032,123787,14156.5,220,134124,5174.5,1427,1567.5,520,263,966.5,0,901.5,1083,230454,13388.5,0,120562,104.5,127,1536.5,839.5,43710.5,1177661,610.5,479.5,337,1282.5,20845.5,18251.5,127.5,123444,249,124118,895,180080,723,784.5,548.5,9713,30342,99867.5,307,29348.5,176,48205,0,103928,68792.5,97166,17222.5,142415,1035.5,249087,439,1452.5,195,1563,561.5,30180.5,2231,7876,391.5,134998,622.5,152.5,1107,40834,743,1505,1217,0,33508,269624,69914.5,115434,866,48430.5,696.5,447.5,341.5,0,483.5,314022,11147.5,291,120344,23036.5,23682.5,586.5,586.5,299.5,26214,816.5,15081.5,168.5,20341,357731,193944,41089,392.5,1904.5,905.5,13726,101396,467.5,75888.5
OB_S426_A10000000_D100_R300_Centrifuge,85044,211958,31375,8899.5,19139.5,0,7326,13726.5,7734,6049.5,154162,16647.5,83225,75771,22000.5,10266,149384,61583.5,25285,20131.5,7922.5,7665.5,10069,0,10771,20766.5,236116,24903.5,0,70976.5,6285,0,26394.5,14129,43375.5,1357190,16886.5,7434.5,7006,9588,17302,21991.5,6693.5,82496.5,8139.5,63396.5,14163.5,138296,10868,30463,8063,26393.5,19874.5,172818,8121,32898.5,7400.5,34981,0,147860,57989,120568,17088,138900,9491.5,308531,12807,27175,7218.5,49818.5,21087,160092,15382,24086.5,8632,169520,18751.5,8084.5,8364,29972,11436.5,10487,12471.5,164722,33010.5,210564,101614,93528,0,82423,14483.5,9655.5,8818,0,16584,289572,30713,9566.5,73668,42508.5,37028,67228,0,8552.5,25898,8898.5,17356,7691.5,18563,424062,204588,29249.5,9218.5,13505,11081,70596.5,79312.5,8305.5,229054
OB_S426_A10000000_D100_R300_Constrains,33135,85500,87703,87732,0,0,93532,0,0,97112,74864,91328,76399,96701,114833,86110,93846,104569,13398,0,89022,91045,93411,0,95139,0,85087,94405,0,47858,0,0,100440,94276,96876,86584,90655,0,0,0,77422,0,0,88025,86420,84270,0,75506,0,92212,89940,437771,0,96538,78839,89910,94242,79139,537225,82414,85626,84894,78502,0,89318,65126,0,0,0,95727,0,94887,99664,287378,458126,96917,34954,0,88921,91594,93636,0,50047,95002,89178,87311,34693,58912,0,22644,91657,92549,92460,0,0,90997,89838,73417,0,95006,113753,0,0,101902,0,1483438,94126,102526,80390,88504,92464,77271,100450,0,93385,93136,0,54143,94582
OB_S426_A10000000_D100_R300_Kraken,160076,209908,51047,17762,38137,0,14652,27452,15456,12099,243247,33294,151781,150149,35980,20532,95956,63562,50557,40263,15845,15328,20138,0,21542,41524,249636,36459,0,134033,12570,0,52070,28257,69653,662994,33773,14850,13988,20192,34583,38950,13309,133150,15994,126427,28328,175201,21736,30905,15898,36117,38961,128505,16126,49046,14705,58761,0,68773,80586,114689,28228,167651,18983,274956,25615,54350,14436,50498,42174,272445,0,34157,16973,85028,37195,16169,16728,54645,22872,20619,24778,65412,61118,303028,202853,175994,0,142597,28914,19310,17636,0,33169,98628,38926,19088,144868,24294,24415,43667,0,17025,45469,16586,31384,14922,34098,408687,97190,51438,18366,26770,22161,15914,158183,16611,23503
OB_S426_A10000000_D100_R300_MetaPhlan2,33135,85500,87703,87732,0,0,93532,0,0,97112,74864,91328,76399,96701,114833,86110,93846,104569,13398,0,89022,91045,93411,0,95139,0,85087,94405,0,47858,0,0,100440,94276,96876,86584,90655,0,0,0,77422,0,0,88025,86420,84270,0,75506,0,92212,89940,437771,0,96538,78839,89910,94242,79139,537225,82414,85626,84894,78502,0,89318,65126,0,0,0,95727,0,94887,99664,287378,458126,96917,34954,0,88921,91594,93636,0,50047,95002,89178,87311,34693,58912,0,22644,91657,92549,92460,0,0,90997,89838,73417,0,95006,113753,0,0,101902,0,0,94126,102526,80390,88504,92464,77271,100450,0,93385,93136,0,54143,94582
OB_S426_A10000000_D100_R300_PathoScope2,160947,210793,51181.5,17659,38136.5,51771,14649.5,27452,15389,12099,243333.5,33280.5,158967,150412.5,37509.5,20512.5,168792,63581.5,50550.5,40263,15842,15332,20138,48016,21542,41522.5,249661,36422,0,134068,12567.5,19541,52240,28257,69976.5,1251328,33772,14767.5,14019,18488,34590,38945.5,13292.5,133396,15913.5,126427,28328,207682,21736,31049.5,15779.5,36034.5,38915,137499,16021.5,49215,14610,59142.5,3304,147899.5,80758.5,114601,28218.5,170356,18983,274965.5,25615,54350,14412.5,50493,42160.5,271876.5,16668.5,34035.5,16650,189869,37193,16168.5,16724,55067.5,22854,20515.5,24779.5,156617.5,61085.5,305058.5,202904.5,176365.5,27144.5,142734,28910,19307,17634,0,33169,376121.5,39144,18869.5,144775.5,49839.5,46788.5,49653.5,16407.5,16990.5,43181,16424,31433.5,14628,34016,413195.5,217733.5,51267.5,18289.5,26600,22157,79270.5,158206.5,16610.5,428221.5
OB_S426_A10000000_D100_R300_Sigma,0,301806.2,45061.3,26352.4,56321.8,76450.5,21626.3,0,0,17861.7,357993.4,0,0,200239.8,0,30316.4,192255.4,0,0,0,23396.4,22637.3,29740.4,70522.2,31808.1,0,0,43731.2,0,74222.9,18560.3,0,78168.5,41725.5,72389.9,1841440.2,0,0,20701.8,0,25321.5,18719.5,0,108463,0,131016.3,0,250438.5,32099.1,45508.8,0,45738.2,0,127398,0,56750.1,21796.5,25682.1,49741.9,151541,54073.9,140658.8,0,218007.5,28034.6,346986.4,0,0,0,74314.9,0,398471,24125.2,45714.4,0,190030,54908.4,0,0,49135.2,0,0,0,172647,70968.3,423582.6,152808.2,85382.2,0,117425.4,0,0,26039.3,0,48980.1,490016.9,49388.1,0,109413.6,60138.9,0,0,0,25475.7,0,25029.6,37631.5,0,0,558999.5,266139.9,0,27378.2,0,0,114436.5,77471.8,24529.9,626113.5
OB_S426_A10000000_D100_R300_Taxator-tk,112094,190575,45266.5,378.5,913,0,598.5,1042.5,627.5,103.5,26564.5,995,151989,134348,20391.5,337.5,146840,6193.5,2206.5,2180.5,745,450.5,1474,0,1291.5,1502.5,240726,18385.5,0,125601,169,205,2130,1507.5,54895.5,1206830,1011.5,659,476,1750,25889.5,23601,227.5,127170,357,125493,1249,191751,1039,1245,771.5,13818.5,34419.5,119510,443,37901.5,289,51761,0,127604,71432,104858,21167,156578,1412,260752,585.5,2258,270,2563,896,54249,3348.5,13728,507.5,165735,1095.5,270,1561.5,48117.5,1077.5,2006.5,1807.5,0,44782.5,283708,96856.5,133998,1329.5,58870.5,1159,643,600.5,0,782.5,352839,15019,428,128752,31190.5,29044,1359.5,786,410.5,34045,919,21471,247,24957.5,389120,208448,44820,581,2370.5,1409.5,23143.5,115779,627,126720
OB_S426_A10000000_D100_R75_Centrifuge,95254,236976,41177,9219.5,19113.5,0,7259,13709.5,7696,6090.5,132088,16610,104874,75633.5,28350.5,10379,159472,62271,25194.5,19864.5,7938,7642.5,10050.5,0,10742,20936,234452,28237,0,87582,6244.5,0,26526,14036.5,60908,1166280,16791,7573.5,6982.5,10197.5,17281.5,25097.5,6683,115416,8434,70532,14112.5,221407,10678.5,30876.5,8345.5,30452.5,21409.5,176323,8218.5,48415.5,7569.5,43812,0,163700,66547,158770,19457.5,205123,9705,299226,12745.5,27366,7183,50579.5,21147.5,144632,15933,33250,10248.5,190510,18770,7857,8512,42194.5,11367,10893,12300,139734,41685,349848,101728,110572,0,82716.5,14449,9829,8980.5,0,16531,248157,34828.5,10078,75119.5,53762,43549,69493,0,8691,37827.5,10220,22329,8478,20747,322842,188852,33110,9489.5,13418,11042,50936,79893.5,8260.5,217291
OB_S426_A10000000_D100_R75_Constrains,34333,82577,86837,91821,0,0,89164,0,0,91902,83519,88869,71939,90158,113471,85373,86560,99388,13963,0,88221,89030,87958,0,90836,0,83293,87651,0,56312,0,0,101974,89347,90897,82889,88946,0,0,0,69544,0,0,82727,83475,78141,0,80872,0,91563,91794,458984,0,98599,80066,87184,93693,77655,531483,82963,80871,85630,77984,0,92092,64688,0,0,0,94826,0,90503,92813,361931,514043,99435,35921,0,86680,88015,89943,0,45581,89930,87452,83071,38004,58351,0,21182,87627,88005,86184,0,0,87305,89029,70285,0,91335,121720,0,0,102864,0,1413248,91887,170827,79108,87951,89064,74413,100808,0,89551,89652,0,54318,89634
OB_S426_A10000000_D100_R75_Kraken,157832,209814,51283,18058,38029,0,14506,27419,15337,12181,244488,33175,126903,145375,34233,20685,63682,64019,50328,39729,15857,15259,20101,0,21484,41817,249375,36227,0,134081,12489,0,52004,28073,69753,397432,33582,15058,13925,20497,34210,39026,13177,132990,16028,126977,28222,119574,21353,30863,15978,36318,38293,96528,15937,48689,14437,58323,0,36648,80145,114726,28229,164528,19409,275744,25486,54720,14332,50744,42268,272760,0,31583,15890,46723,37189,15713,17023,54133,22690,21171,24401,42309,61413,302301,201407,174878,0,141555,28838,19631,17946,0,33061,64621,38545,19244,144409,15544,19667,38832,0,16902,43057,15752,31238,14882,33756,403983,42512,50690,18503,26381,22083,5821,158661,16520,7424
OB_S426_A10000000_D100_R75_MetaPhlan2,34333,82577,86837,91821,0,0,89164,0,0,91902,83519,88869,71939,90158,113471,85373,86560,99388,13963,0,88221,89030,87958,0,90836,0,83293,87651,0,56312,0,0,101974,89347,90897,82889,88946,0,0,0,69544,0,0,82727,83475,78141,0,80872,0,91563,91794,458984,0,98599,80066,87184,93693,77655,531483,82963,80871,85630,77984,0,92092,64688,0,0,0,94826,0,90503,92813,361931,514043,99435,35921,0,86680,88015,89943,0,45581,89930,87452,83071,38004,58351,0,21182,87627,88005,86184,0,0,87305,89029,70285,0,91335,121720,0,0,102864,0,1413248,91887,170827,79108,87951,89064,74413,100808,0,89551,89652,0,54318,89634
OB_S426_A10000000_D100_R75_PathoScope2,159061.5,210960.5,51500.5,17927.5,38002,52317.5,14487.5,27418,15236,12175,244935,33089.5,158910,150921,37967,20620,167430.5,63970.5,50297,39726.5,15887,15229,20095,48237,21483.5,41770,249565.5,36178.5,0,133788.5,12471.5,19461,51897.5,28075,70250.5,1252960,33569.5,14902,13809,19222.5,34379,38996.5,13089,133739.5,15795.5,127001.5,28224.5,207196,21345.5,31338,15993,36276,38154.5,139437,15672.5,49185.5,14204.5,59138.5,2812,148188,80238.5,114383,28147,170824,19399.5,275839.5,25480.5,54728,14271,50730.5,42237.5,272662,16321,32531,14411.5,194632.5,37154.5,15712,17003.5,54877.5,22681.5,21077,24449,156404,61283.5,305467,201436,175456.5,26628.5,141717,28827.5,19586,17946.5,0,33048.5,377997.5,38724,18989.5,144299.5,49955,44555.5,55446,16239,16734.5,39388.5,15439.5,31176.5,14225,33892.5,415603.5,218102,50601.5,18632,26169,22065,79737.5,158762,16505.5,426686.5
OB_S426_A10000000_D100_R75_Sigma,0,283219.3,55739.3,25042.6,51803.5,71151.7,19759.2,0,0,16582.6,332962.3,0,0,194061.7,0,28178.8,209565.9,0,0,0,21601.5,20790.1,27364.8,65571.9,29251.7,0,0,43940.8,0,126898,17004.5,0,72616.7,38215.8,85589.1,1702616.2,0,0,19199.6,0,24654.6,18064.5,0,150872.6,0,155855.9,0,263682.7,29109.5,42728.3,0,45832.5,0,129041,0,60761.4,20012.3,44801,51260.3,173539,70336.9,148510.3,0,218733.3,26427.5,354150.1,0,0,0,69038.9,0,369722.9,21978.9,50181.3,0,233804.5,50638,0,0,62447.7,0,0,0,190678,77996.7,404671.9,142320,115605,0,107372.51,0,0,24502.2,0,45019.5,490458.6,49035.6,0,116513.2,61933.9,0,0,0,24243.8,0,22800,40079.7,0,0,545031.2,276089.2,0,26496.2,0,0,107702.4,85273.7,22486.8,578775.9
OB_S426_A10000000_D100_R75_Taxator-tk,59137,142216,27737,155.5,295,0,267,486.5,267.5,31.5,7975,453,130243,92432.5,8284,142,109106,4374,808.5,1111,345,169.5,682,0,617,655,201628,8369.5,0,103548,53,68.5,942.5,432.5,29467.5,1103700,376,282,240,853,13327,12289.5,61.5,110886,126.5,118608,612,144799,436.5,448,329,5929.5,21178,71540.5,138.5,19858.5,132.5,39166,0,73785,59536,77673.5,11862,109584,726,208096,301.5,818,111,889,377,16188,1384.5,3800,260,84847,294.5,86,749,30048,505,1097,766.5,0,21380,223921,41754,86203.5,527.5,31683.5,387,247,219,0,261.5,240005,7374.5,183,98258,14552,15271,276,388.5,222.5,16385,507.5,9178.5,123.5,13990,278262,158092,32231.5,275.5,1461.5,559.5,7668.5,73666.5,267.5,44070.5
OB_S426_A10000000_D100_Rall,70422,164318,70422,23474,46948,46948,23474,23474,23474,23474,140844,23474,117370,234740,46948,23474,211266,46948,46948,23474,23474,23474,23474,117370,23474,23474,305162,46948,23474,70422,23474,23474,23474,23474,70422,751168,23474,23474,23474,23474,46948,70422,23474,211266,23474,234740,23474,117370,23474,46948,23474,46948,46948,117370,23474,70422,23474,93896,23474,140844,117370,117370,46948,211266,23474,281688,23474,23474,23474,46948,23474,187792,46948,46948,23474,258214,46948,23474,23474,70422,23474,46948,46948,187792,46948,140844,93896,117370,23474,164318,23474,23474,23474,23474,23474,399058,46948,23474,93896,70422,70422,70422,23474,23474,70422,23474,46948,23474,46948,586850,352110,70422,23474,23474,23474,211266,117370,23474,281688
OB_S10_A100000_D1_R1000_Centrifuge,0,0,0,0,0,0,0,0,0,0,47615,0,0,0,0,0,1021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,453.5,0,0,0,0,0,0,0,0,0,335,0,0,0,0,0,0,0,0,0,0,0,2922.5,0,2236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,257.5,0,0,5760,0,0,0,0,0,0,0,0,0,0,0,0,1873.5,0,0,0,0,0,0,0
OB_S10_A100000_D1_R1000_Constrains,0,0,0,0,0,0,0,0,0,0,77484.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13607.9,0,0,0,0,0,0,0
