OTU,Achromobacter.xylosoxidans,Acinetobacter.baumannii,Aggregatibacter.actinomycetemcomitans,Aggregatibacter.aphrophilus,Agrobacterium.fabrum,Agrobacterium.radiobacter,Anaerococcus.prevotii,Anaerolinea.thermophila,Arcanobacterium.haemolyticum,Atopobium.parvulum,Bacillus.anthracis,Bacillus.clausii,Bacillus.subtilis,Bifidobacterium.animalis,Bifidobacterium.breve,Bifidobacterium.dentium,Bifidobacterium.longum,Bordetella.pertussis,Burkholderia.cepacia,Caldilinea.aerophila,Campylobacter.concisus,Campylobacter.curvus,Capnocytophaga.ochracea,Chlamydophila.pneumoniae,Chlorobium.limicola,Comamonas.testosteroni,Corynebacterium.diphtheriae,Corynebacterium.urealyticum,Cronobacter.malonaticus,Cronobacter.sakazakii,Cryptobacterium.curtum,Cutibacterium.avidum,Delftia.acidovorans,Eggerthella.lenta,Enterococcus.faecalis,Escherichia.coli,Eubacterium.limosum,Filifactor.alocis,Finegoldia.magna,Fretibacterium.fastidiosum,Fusobacterium.nucleatum,Gardnerella.vaginalis,Haemophilus.ducreyi,Haemophilus.influenzae,Haemophilus.parainfluenzae,Helicobacter.pylori,Ignavibacterium.album,Klebsiella.pneumoniae,Kytococcus.sedentarius,Lactobacillus.acidophilus,Lactobacillus.amylovorus,Lactobacillus.brevis,Lactobacillus.buchneri,Lactobacillus.casei,Lactobacillus.crispatus,Lactobacillus.fermentum,Lactobacillus.gasseri,Lactobacillus.johnsonii,Lactobacillus.paracasei,Lactobacillus.plantarum,Lactobacillus.reuteri,Lactobacillus.rhamnosus,Lactobacillus.salivarius,Lactococcus.lactis,Leptotrichia.buccalis,Listeria.monocytogenes,Melioribacter.roseus,Mesorhizobium.loti,Moraxella.catarrhalis,Mycobacterium.leprae,Mycobacterium.neoaurum,Mycobacterium.tuberculosis,Mycoplasma.fermentans,Neisseria.gonorrhoeae,Neisseria.lactamica,Neisseria.meningitidis,Ochrobactrum.anthropi,Olsenella.uli,Porphyromonas.asaccharolytica,Porphyromonas.gingivalis,Prevotella.denticola,Prevotella.intermedia,Prevotella.melaninogenica,Propionibacterium.acnes,Proteus.mirabilis,Pseudomonas.aeruginosa,Pseudomonas.fluorescens,Pseudomonas.stutzeri,Pseudopropionibacterium.propionicum,Ralstonia.pickettii,Rhodobacter.capsulatus,Rothia.dentocariosa,Rothia.mucilaginosa,Saccharimonas.aalborgensis,Sanguibacter.keddieii,Staphylococcus.aureus,Staphylococcus.epidermidis,Staphylococcus.warneri,Stenotrophomonas.maltophilia,Streptococcus.agalactiae,Streptococcus.anginosus,Streptococcus.constellatus,Streptococcus.cristatus,Streptococcus.gordonii,Streptococcus.intermedius,Streptococcus.mitis,Streptococcus.mutans,Streptococcus.oralis,Streptococcus.parasanguinis,Streptococcus.pneumoniae,Streptococcus.pyogenes,Streptococcus.salivarius,Streptococcus.sanguinis,Tannerella.forsythia,Treponema.denticola,Treponema.pallidum,Variovorax.paradoxus,Veillonella.parvula,Yersinia.pestis
OB_S10_A10000000_D50_R300_Centrifuge,0,0,0,0,0,0,0,0,0,0,1521160,0,0,0,0,0,1093430,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,536481,0,0,0,0,0,0,0,0,0,134269,0,0,0,0,0,0,0,0,0,0,0,1195878,0,99170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1194990,0,0,320677,0,0,0,0,0,0,0,0,0,0,0,0,544520,0,0,0,0,0,0,0
OB_S10_A10000000_D50_R300_Constrains,0,0,0,0,0,0,0,0,0,0,924674,0,0,0,0,0,720512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,296916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,564540,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,354426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1655430,0,0,0,0,0,0,0
OB_S10_A10000000_D50_R300_Kraken,0,0,0,0,0,0,0,0,0,0,2560602,0,0,0,0,0,548712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,315272,0,0,0,0,0,0,0,0,0,249053,0,0,0,0,0,0,0,0,0,0,0,667949,0,198343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1202837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,918212,0,0,0,0,0,0,0
OB_S10_A10000000_D50_R300_MetaPhlan2,0,0,0,0,0,0,0,0,0,0,924674,0,0,0,0,0,720512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,296916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,564540,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,354426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1655430,0,0,0,0,0,0,0
OB_S10_A10000000_D50_R300_PathoScope2,0,0,0,0,0,0,0,0,0,0,2560609.5,0,0,0,0,0,1106421.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,342730,0,0,0,0,0,0,0,0,0,251624.5,0,0,0,0,0,0,0,0,0,0,0,1111594.5,0,198342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1263624,0,0,640356,0,0,0,0,0,0,0,0,0,0,0,0,918392,0,0,0,0,0,0,0
OB_S10_A10000000_D50_R300_Sigma,0,0,0,0,0,0,0,0,0,0,4827960,0,0,0,0,0,1411172.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,642857,0,0,0,0,0,0,0,0,0,167563.1,0,0,0,0,0,0,0,0,0,0,0,907467,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,831117.46,0,0,1203950,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OB_S10_A10000000_D50_R300_Taxator-tk,0,0,0,0,0,0,0,0,0,0,282292,0,0,0,0,0,989812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,290936,0,0,0,0,0,0,0,0,0,227934,0,0,0,0,0,0,0,0,0,0,0,970649,0,3388.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1184920,0,0,563002,0,0,0,0,0,0,0,0,0,0,0,0,812674,0,0,0,0,0,0,0
OB_S10_A10000000_D50_R75_Centrifuge,0,0,0,0,0,0,0,0,0,0,1356440,0,0,0,0,0,1130410,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,508136,0,0,0,0,0,0,0,0,0,193978,0,0,0,0,0,0,0,0,0,0,0,1227666,0,98651.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1184340,0,0,324480,0,0,0,0,0,0,0,0,0,0,0,0,621944,0,0,0,0,0,0,0
OB_S10_A10000000_D50_R75_Constrains,0,0,0,0,0,0,0,0,0,0,967814,0,0,0,0,0,612383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,272363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,518197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,313892,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1530330,0,0,0,0,0,0,0
OB_S10_A10000000_D50_R75_Kraken,0,0,0,0,0,0,0,0,0,0,2559713,0,0,0,0,0,352636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,241709,0,0,0,0,0,0,0,0,0,244018,0,0,0,0,0,0,0,0,0,0,0,376621,0,197296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,950990,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,914010,0,0,0,0,0,0,0
OB_S10_A10000000_D50_R75_MetaPhlan2,0,0,0,0,0,0,0,0,0,0,967814,0,0,0,0,0,612383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,272363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,518197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,313892,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1530330,0,0,0,0,0,0,0
OB_S10_A10000000_D50_R75_PathoScope2,0,0,0,0,0,0,0,0,0,0,2560949.5,0,0,0,0,0,1105311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,342405,0,0,0,0,0,0,0,0,0,250640,0,0,0,0,0,0,0,0,0,0,0,1113352.5,0,197298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1263182.5,0,0,640556,0,0,0,0,0,0,0,0,0,0,0,0,918508.5,0,0,0,0,0,0,0
