OTU,Achromobacter.xylosoxidans,Acinetobacter.baumannii,Aggregatibacter.actinomycetemcomitans,Aggregatibacter.aphrophilus,Agrobacterium.fabrum,Agrobacterium.radiobacter,Anaerococcus.prevotii,Anaerolinea.thermophila,Arcanobacterium.haemolyticum,Atopobium.parvulum,Bacillus.anthracis,Bacillus.clausii,Bacillus.subtilis,Bifidobacterium.animalis,Bifidobacterium.breve,Bifidobacterium.dentium,Bifidobacterium.longum,Bordetella.pertussis,Burkholderia.cepacia,Caldilinea.aerophila,Campylobacter.concisus,Campylobacter.curvus,Capnocytophaga.ochracea,Chlamydophila.pneumoniae,Chlorobium.limicola,Comamonas.testosteroni,Corynebacterium.diphtheriae,Corynebacterium.urealyticum,Cronobacter.malonaticus,Cronobacter.sakazakii,Cryptobacterium.curtum,Cutibacterium.avidum,Delftia.acidovorans,Eggerthella.lenta,Enterococcus.faecalis,Escherichia.coli,Eubacterium.limosum,Filifactor.alocis,Finegoldia.magna,Fretibacterium.fastidiosum,Fusobacterium.nucleatum,Gardnerella.vaginalis,Haemophilus.ducreyi,Haemophilus.influenzae,Haemophilus.parainfluenzae,Helicobacter.pylori,Ignavibacterium.album,Klebsiella.pneumoniae,Kytococcus.sedentarius,Lactobacillus.acidophilus,Lactobacillus.amylovorus,Lactobacillus.brevis,Lactobacillus.buchneri,Lactobacillus.casei,Lactobacillus.crispatus,Lactobacillus.fermentum,Lactobacillus.gasseri,Lactobacillus.johnsonii,Lactobacillus.paracasei,Lactobacillus.plantarum,Lactobacillus.reuteri,Lactobacillus.rhamnosus,Lactobacillus.salivarius,Lactococcus.lactis,Leptotrichia.buccalis,Listeria.monocytogenes,Melioribacter.roseus,Mesorhizobium.loti,Moraxella.catarrhalis,Mycobacterium.leprae,Mycobacterium.neoaurum,Mycobacterium.tuberculosis,Mycoplasma.fermentans,Neisseria.gonorrhoeae,Neisseria.lactamica,Neisseria.meningitidis,Ochrobactrum.anthropi,Olsenella.uli,Porphyromonas.asaccharolytica,Porphyromonas.gingivalis,Prevotella.denticola,Prevotella.intermedia,Prevotella.melaninogenica,Propionibacterium.acnes,Proteus.mirabilis,Pseudomonas.aeruginosa,Pseudomonas.fluorescens,Pseudomonas.stutzeri,Pseudopropionibacterium.propionicum,Ralstonia.pickettii,Rhodobacter.capsulatus,Rothia.dentocariosa,Rothia.mucilaginosa,Saccharimonas.aalborgensis,Sanguibacter.keddieii,Staphylococcus.aureus,Staphylococcus.epidermidis,Staphylococcus.warneri,Stenotrophomonas.maltophilia,Streptococcus.agalactiae,Streptococcus.anginosus,Streptococcus.constellatus,Streptococcus.cristatus,Streptococcus.gordonii,Streptococcus.intermedius,Streptococcus.mitis,Streptococcus.mutans,Streptococcus.oralis,Streptococcus.parasanguinis,Streptococcus.pneumoniae,Streptococcus.pyogenes,Streptococcus.salivarius,Streptococcus.sanguinis,Tannerella.forsythia,Treponema.denticola,Treponema.pallidum,Trichomonas.vaginalis,Variovorax.paradoxus,Veillonella.parvula,Yersinia.pestis,Pseudomonas.protegens
OB_S10_A10000000_D10_R300_Kraken,0,0,0,0,0,0,0,0,0,0,5032930,0,0,0,0,0,423313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,509268,0,0,0,0,0,0,0,0,0,0,0,1083612,0,317096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,353993,0,0,512940,0,0,0,0,0,0,0,0,0,0,0,0,643903,0,0,0,0,0,0,0,0,0
OB_S10_A10000000_D10_R300_MetaPhlan2,0,0,0,0,0,0,0,0,0,0,1697641,0,0,0,0,0,557201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,918389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101740,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1164397,0,0,0,0,0,0,0,0,0
OB_S10_A10000000_D10_R300_PathoScope2,0,0,0,0,0,0,0,0,0,0,4900493,0,0,0,0,0,856392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,514493.5,0,0,0,0,0,0,0,0,0,0,0,1805132.5,0,317093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,371741.5,0,0,512940,0,0,0,0,0,0,0,0,0,0,0,0,644009,0,0,0,0,0,0,0,0,0
OB_S10_A10000000_D10_R300_Taxator-tk,0,0,0,0,0,0,0,0,0,0,876134,0,0,0,0,0,766315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,466230,0,0,0,0,0,0,0,0,0,0,0,1576464,0,5442.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,348414,0,0,450651,0,0,0,0,0,0,0,0,0,0,0,0,569416,0,0,0,0,0,0,0,0,0
OB_S10_A10000000_D10_R75_Centrifuge,0,0,0,0,0,0,0,0,0,0,2706712,0,0,0,0,0,875244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,398374,0,0,0,0,0,0,0,0,0,0,0,1987984,0,158766,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,349582,0,0,259453,0,0,0,0,0,0,0,0,0,0,0,0,435702,0,0,0,0,0,0,0,0,0
OB_S10_A10000000_D10_R75_Kraken,0,0,0,0,0,0,0,0,0,0,4787487,0,0,0,0,0,271885,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500698,0,0,0,0,0,0,0,0,0,0,0,609848,0,317526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,280600,0,0,512094,0,0,0,0,0,0,0,0,0,0,0,0,640605,0,0,0,0,0,0,0,0,0
OB_S10_A10000000_D10_R75_MetaPhlan2,0,0,0,0,0,0,0,0,0,0,1669738,0,0,0,0,0,449582,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,800425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86939,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1023389,0,0,0,0,0,0,0,0,0
OB_S10_A10000000_D10_R75_PathoScope2,0,0,0,0,0,0,0,0,0,0,4744545.5,0,0,0,0,0,855294.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,514001,0,0,0,0,0,0,0,0,0,0,0,1802790,0,317520,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,372661.5,0,0,512108.5,0,0,0,0,0,0,0,0,0,0,0,0,643948.5,0,0,0,0,0,0,0,0,0
OB_S10_A10000000_D10_R75_Taxator-tk,0,0,0,0,0,0,0,0,0,0,346495,0,0,0,0,0,572790,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,338614,0,0,0,0,0,0,0,0,0,0,0,803716,0,1694,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,230616,0,0,314745,0,0,0,0,0,0,0,0,0,0,0,0,414280,0,0,0,0,0,0,0,0,0
OB_S10_A10000000_D10_Rall,0,0,0,0,0,0,0,0,0,0,2624902,0,0,0,0,0,1166505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,689717,0,0,0,0,0,0,0,0,0,0,0,2576709,0,501816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,430377,0,0,363367,0,0,0,0,0,0,0,0,0,0,0,0,942542,0,0,0,0,1000000,0,0,0,0
