OTU,Achromobacter.xylosoxidans,Acinetobacter.baumannii,Aggregatibacter.actinomycetemcomitans,Aggregatibacter.aphrophilus,Agrobacterium.fabrum,Agrobacterium.radiobacter,Anaerococcus.prevotii,Anaerolinea.thermophila,Arcanobacterium.haemolyticum,Atopobium.parvulum,Bacillus.anthracis,Bacillus.clausii,Bacillus.subtilis,Bifidobacterium.animalis,Bifidobacterium.breve,Bifidobacterium.dentium,Bifidobacterium.longum,Bordetella.pertussis,Burkholderia.cepacia,Caldilinea.aerophila,Campylobacter.concisus,Campylobacter.curvus,Capnocytophaga.ochracea,Chlamydophila.pneumoniae,Chlorobium.limicola,Comamonas.testosteroni,Corynebacterium.diphtheriae,Corynebacterium.urealyticum,Cronobacter.malonaticus,Cronobacter.sakazakii,Cryptobacterium.curtum,Cutibacterium.avidum,Delftia.acidovorans,Eggerthella.lenta,Enterococcus.faecalis,Escherichia.coli,Eubacterium.limosum,Filifactor.alocis,Finegoldia.magna,Fretibacterium.fastidiosum,Fusobacterium.nucleatum,Gardnerella.vaginalis,Haemophilus.ducreyi,Haemophilus.influenzae,Haemophilus.parainfluenzae,Helicobacter.pylori,Ignavibacterium.album,Klebsiella.pneumoniae,Kytococcus.sedentarius,Lactobacillus.acidophilus,Lactobacillus.amylovorus,Lactobacillus.brevis,Lactobacillus.buchneri,Lactobacillus.casei,Lactobacillus.crispatus,Lactobacillus.fermentum,Lactobacillus.gasseri,Lactobacillus.johnsonii,Lactobacillus.paracasei,Lactobacillus.plantarum,Lactobacillus.reuteri,Lactobacillus.rhamnosus,Lactobacillus.salivarius,Lactococcus.lactis,Leptotrichia.buccalis,Listeria.monocytogenes,Melioribacter.roseus,Mesorhizobium.loti,Moraxella.catarrhalis,Mycobacterium.leprae,Mycobacterium.neoaurum,Mycobacterium.tuberculosis,Mycoplasma.fermentans,Neisseria.gonorrhoeae,Neisseria.lactamica,Neisseria.meningitidis,Ochrobactrum.anthropi,Olsenella.uli,Porphyromonas.asaccharolytica,Porphyromonas.gingivalis,Prevotella.denticola,Prevotella.intermedia,Prevotella.melaninogenica,Propionibacterium.acnes,Proteus.mirabilis,Pseudomonas.aeruginosa,Pseudomonas.fluorescens,Pseudomonas.stutzeri,Pseudopropionibacterium.propionicum,Ralstonia.pickettii,Rhodobacter.capsulatus,Rothia.dentocariosa,Rothia.mucilaginosa,Saccharimonas.aalborgensis,Sanguibacter.keddieii,Staphylococcus.aureus,Staphylococcus.epidermidis,Staphylococcus.warneri,Stenotrophomonas.maltophilia,Streptococcus.agalactiae,Streptococcus.anginosus,Streptococcus.constellatus,Streptococcus.cristatus,Streptococcus.gordonii,Streptococcus.intermedius,Streptococcus.mitis,Streptococcus.mutans,Streptococcus.oralis,Streptococcus.parasanguinis,Streptococcus.pneumoniae,Streptococcus.pyogenes,Streptococcus.salivarius,Streptococcus.sanguinis,Tannerella.forsythia,Treponema.denticola,Treponema.pallidum,Trichomonas.vaginalis,Variovorax.paradoxus,Veillonella.parvula,Yersinia.pestis,Pseudomonas.protegens
OB_S426_A10000000_D100_R1000_Centrifuge,84353.5,212361,31302,9137,19294,0,7355.5,13746.5,7687,6063,862339,16578.5,83250.5,76001,21944,10205.5,149388,61853.5,25113,19999,8029,7689.5,10138,0,10705.5,20807,235724,24700.5,0,71155.5,6349,0,26538,14043.5,43121.5,1368220,16885,7499,6988,8931.5,17115,21779,6687.5,82764,8168.5,63376,14120.5,136894,10879,30361.5,8104.5,26384.5,19777.5,168300,8021,32108.5,7341,35284.5,0,142936,57970,118937,17088.5,136362,9480,313280,12657.5,27524,7262,49920,21116,166742,15077,23911.5,8730.5,170172,18643.5,8023,8592,30143.5,11435,10653,12539.5,170738,33153.5,207138,100548,93510,0,82405.5,14672.5,9817,8844,0,16506.5,304764,30930.5,9520.5,73678,42416,37266,66803.5,0,8499,25816,8776.5,17421,7776,18373,440894,204366,28927.5,9244,13353.5,10845.5,78841,0,79752,8414.5,229813,0
OB_S426_A10000000_D100_R1000_Kraken,159221,210476,51264,18207,38445,0,14654,27495,15371,12121,1051221,33051,152026,150357,36147,20411,96861,63991,50222,39998,16043,15375,20264,0,21412,41611,249120,36301,0,134582,12698,0,52363,28086,69364,668104,33771,14967,13912,20065,34171,38543,13291,133343,16083,126385,28214,175847,21759,30826,15987,36190,38775,129053,15956,48746,14570,59324,0,69034,80971,114682,28479,167427,18945,275130,25315,55043,14525,50657,42232,274566,0,34060,17173,85992,36983,16048,17183,55216,22866,20918,24881,65812,61461,302556,200731,176147,0,142654,29291,19633,17690,0,33014,99479,39328,18888,144956,24385,24771,43471,0,16926,45641,16382,31567,15099,33771,409501,99100,50904,18387,26446,21691,16280,0,159107,16762,24545,0
OB_S426_A10000000_D100_R1000_MetaPhlan2,32988,85597,86967,93764,0,0,100412,0,0,103976,154844,93815,74869,105974,120869,91352,100464,108993,10636,0,93165,94057,101786,0,99580,0,88766,100145,0,42461,0,0,101890,103412,103479,86971,95548,0,0,0,75530,0,0,87831,87735,82264,0,67468,0,96072,84802,489588,0,96842,77570,91787,91644,80432,544893,83344,86443,86955,77092,0,89141,59500,0,0,0,102663,0,102781,105336,216452,381437,96283,34166,0,100332,99384,102887,0,54209,102507,93028,88794,30174,60211,0,22405,96445,98375,98843,0,0,92889,92035,66552,0,98214,103189,0,0,106319,0,0,98455,89946,77936,89444,95826,78059,97977,0,100227,101573,0,0,57618,100026,0
OB_S426_A10000000_D100_R1000_PathoScope2,159618,210166.5,52598,16669,38469,51769,14593,27493.5,15167,12124,926100.5,32872,158785.5,150798,45506.5,19754,161216,63763,50141.5,39998,16031,15350,20256,47624,21411.5,41470,249254,36526.5,0,134684.5,12690,19162,52909.5,28097,69093.5,1244770,33732,15028,14124,17862,34199,38631,12998.5,134789,15459.5,126427,28213.5,209501,21710,31433,15806,35761.5,38548,137415,16020,49877.5,11714,62031,1967,147953.5,80681,115478.5,28350,169755,18913,275255.5,25315,55033,14405,50669,42104,274112,16378,11639,19516,209965.5,36960,16024,17115,55842.5,23443,20430.5,24822,156740.5,61111.5,305489,206062.5,176588.5,26782,142708,29290,19563,17618,0,32947,376453,39938,18536,145272,48482.5,63209,23921,13561.5,12686.5,53799.5,8606.5,31069,11433,32496.5,426634,218677,50482,25261.5,26037,21636,79711,0,159540.5,16750,430636,0
OB_S426_A10000000_D100_R1000_Taxator-tk,122659,196803,47884,528,1349,0,822,1378,866,162,502050,1341,153324,138199,25114,507,152188,7666,3230,3163,1021,737,2137,0,1642,1824,243592,22002,0,127756,240,279,2761,2323,60002,1215878,1493,986,652,2451,28262,27050,363,128748,441,125888,1693,194725,1408,1851,949,18243,35581,127860,636,42774.5,373,53618,0,137861,73225,107806,23908,160410,1902,265901,778,3508,445,3935,1317,86308.5,4617,19596,644,176743,1696.5,446,2166,51108,1447,2888,2659,0,52035,287548,114034,144771,1863,66346,1729,946,826,0,1164,364779,18922,605,132079,36234,32466,2416,868,500,37917,1022,26091,305,27018,398072,212174,45906,787,3024,1889,35071.5,0,123847,816,194100,0
OB_S426_A10000000_D100_R150_Centrifuge,88067,222983,34808,9085,19153,0,7283.5,13834.5,7734,6000.5,681962,16727.5,88361,75528,24425.5,10201.5,155238,61344.5,25108,19986,7814,7672.5,10298,0,10755.5,20772.5,242554,26313,0,75045,6309,0,26396.5,14177,49453,1304080,16821,7656,7007,9889,17406.5,23361.5,6605,93911.5,8312.5,63958,14298.5,170580,10691.5,30711.5,8145,28746,20226.5,179246,8006,38980.5,7362,37818.5,0,162830,60406.5,133272,17918.5,165356,9696.5,307720,12924,27392,7271,50528.5,21111,150877,15819.5,26835.5,8990.5,180636,18831,7914.5,8455.5,33323,11333.5,10718,12358,153936,36131.5,264310,101165,97769,0,82723.5,14528.5,9873.5,8776.5,0,16595,267970,32620,9898,73976,46415.5,39537.5,68423.5,0,8545,29477.5,9408,19173.5,8012.5,19078.5,380336,208832,30299.5,9353.5,13434.5,10985,59454.5,0,79742.5,8237,221624,0
OB_S426_A10000000_D100_R150_Kraken,159088,209318,50986,18036,38117,0,14548,27661,15445,11997,973946,33413,143634,149242,35702,20401,80982,63189,50199,39972,15609,15342,20587,0,21511,41522,249747,36350,0,134191,12618,0,51927,28354,69785,546753,33642,15258,13984,20154,34658,39109,13053,133174,16158,126592,28581,151206,21383,30940,15912,36728,38789,117714,15791,48829,14435,58671,0,52391,80558,114629,28185,166608,19371,275962,25846,54783,14541,50918,42221,273556,0,33425,17009,67242,37351,15829,16910,54170,22650,20961,24504,53301,61598,302836,201518,175024,0,143016,29007,19734,17547,0,33190,82671,38815,19438,144907,20568,22318,41981,0,16897,44708,16384,31231,14983,33496,408308,69419,50968,18477,26562,21964,10243,0,158890,16459,14131,0
OB_S426_A10000000_D100_R150_MetaPhlan2,32813,81154,83770,85446,0,0,88179,0,0,88851,213605,87483,73589,88972,112299,80956,86775,94466,14348,0,84879,86133,89633,0,88947,0,81452,86529,0,51362,0,0,98894,88463,89530,82466,86242,0,0,0,74901,0,0,83945,85093,80650,0,76074,0,89388,86232,411806,0,93574,75128,84444,92528,76441,520874,80034,82574,83721,76238,0,86687,66167,0,0,0,91122,0,89297,92493,324922,509765,97101,34753,0,85604,85649,87692,0,45928,87753,85051,83462,36633,57014,0,21338,86448,88701,84785,0,0,85964,86636,72936,0,88381,121094,0,0,97415,0,0,89070,142688,78082,85021,87774,74551,97035,0,86787,88478,0,0,51373,88072,0
OB_S426_A10000000_D100_R150_PathoScope2,160040,210408,51138.5,17928.5,38114,51966.5,14541,27661,15363.5,11996.5,869507.5,33346.5,158706,150354,37366.5,20368,168353.5,63266,50190,39971,15615,15323.5,20586.5,47640,21510.5,41502,249867.5,36294.5,0,134025,12612.5,19419.5,51787.5,28354,70016.5,1251283.5,33640,15124,14023,18758,34705,39077,13012.5,133549.5,16041.5,126601.5,28583,207456,21381.5,31190.5,15865.5,36630.5,38695,138102,15617,49127.5,14264,59181,3015.5,147412,80745.5,114385,28150.5,170547,19371.5,275940,25844,54790,14505.5,50905.5,42205.5,273123,16585.5,32071.5,15899,192728,37333.5,15829,16901.5,54666,22651.5,20895.5,24514.5,155666.5,61457.5,305379,201605,175512.5,26931.5,143134,29003,19728.5,17538,0,33186.5,376848.5,39110.5,19201,144829.5,49565.5,45921.5,51592.5,16456.5,16828.5,41756.5,15912,31317.5,14585,33408,415246,218483.5,50841.5,18412,26360,21957,79957,0,158965.5,16459,427600,0
OB_S426_A10000000_D100_R150_Taxator-tk,89686.5,174695,38806,259,561.5,0,408,791,446.5,62,344890,734.5,148032,123787,14156.5,220,134124,5174.5,1427.5,1567.5,520,263,966.5,0,901.5,1083,230454,13388.5,0,120562,104.5,127,1536.5,839.5,43710.5,1177661,610.5,479.5,337,1282.5,20845.5,18251.5,127.5,123444,249,124118,895,180080,723,784.5,548.5,9713,30342,99867.5,307,29348.5,176,48205,0,103928,68792.5,97166,17222.5,142415,1035.5,249110,439,1452.5,195,1563,561.5,30180.5,2231,7876,391.5,134998,622.5,152.5,1107,40833.5,743,1505,1217,0,33508,269624,69914.5,115434,866,48430.5,696.5,447.5,341.5,0,483.5,314022,11147.5,291,120344,23036.5,23682.5,586.5,586.5,299.5,26214,816.5,15081.5,168.5,20341,357731,193944,41089,392.5,1904.5,905.5,13726.5,0,101396,467.5,75888.5,0
OB_S426_A10000000_D100_R300_Centrifuge,85044,212028,31378,8924.5,19139.5,0,7345.5,13726.5,7734,6053,753608,16700.5,83428.5,75771,22000.5,10266.5,149384,61583.5,25285,20131.5,7943.5,7666,10075,0,10771,20766.5,236122,24903.5,0,70976.5,6285,0,26394.5,14129,43486,1357229,16886.5,7437,7025,9588,17321,21991.5,6693.5,82686.5,8141.5,63421,14171,138297,10868,30473,8063,26408,19876,172826,8126,32898.5,7407.5,35024,0,147874,57993,120585,17121.5,138963,9513.5,309014,12807,27175,7218.5,49818.5,21087,160092,15383.5,24103.5,8640.5,169526,18751.5,8084.5,8364,29972,11438,10487,12489,164722,33066,210564,101614,93537,0,82423.5,14483.5,9655.5,8818,0,16584,289700,30742,9626,73668,42647.5,37088,67228,0,8554,25951.5,8934.5,17403.5,7701,18563,424102,204612,29276,9223,13506,11083.5,70596.5,0,79312.5,8320.5,229104,0
OB_S426_A10000000_D100_R300_Kraken,160076,209909,51047,17762,38137,0,14652,27452,15456,12099,1048552,33296,151932,150149,35980,20532,95956,63562,50557,40263,15845,15328,20138,0,21542,41524,249636,36459,0,134033,12570,0,52070,28257,69666,662994,33773,14850,13988,20192,34583,38950,13309,133153,15994,126427,28328,175201,21736,30905,15898,36121,38961,128505,16126,49046,14705,58761,0,68773,80586,114696,28228,167651,18983,274965,25615,54350,14436,50498,42174,272445,0,34157,16973,85033,37195,16169,16728,54645,22872,20619,24778,65412,61163,303028,202853,175994,0,142597,28914,19310,17636,0,33169,98628,38927,19095,144868,24294,24415,43667,0,17025,45469,16586,31384,14928,34098,408687,97213,51438,18366,26770,22161,15914,0,158183,16611,23503,0
OB_S426_A10000000_D100_R300_MetaPhlan2,32755,84518,86696,86724,0,0,92458,0,0,95996,188844,90279,75522,95590,113514,85121,92768,103368,13244,0,88000,90000,92338,0,94046,0,84110,93321,0,47309,0,0,99287,93193,95764,85590,89614,0,0,0,76533,0,0,87014,85427,83302,0,74639,0,91153,88907,432743,0,95429,77933,88877,93160,78230,531056,81467,84643,83919,77601,0,88293,64378,0,0,0,94628,0,93798,98519,284078,452865,95804,34553,0,87900,90542,92561,0,49473,93911,88154,86308,34294,58235,0,22384,90604,91486,91398,0,0,89952,88806,72574,0,93915,112447,0,0,100731,0,1466402,93045,101349,79466,87488,91402,76384,99296,0,92313,92066,0,0,53522,93496,0
OB_S426_A10000000_D100_R300_PathoScope2,160947,210793,51181.5,17659,38136.5,51771,14649.5,27452,15389,12099,916477,33279.5,158969.5,150412.5,37509.5,20512.5,168792,63581.5,50550.5,40263,15842,15332,20138,48016,21542,41522.5,249661,36422,0,134068,12567.5,19541,52240,28257,69976.5,1251328,33772,14767.5,14019,18488,34590,38945.5,13292.5,133396,15913.5,126427,28328,207682,21736,31049.5,15779.5,36034.5,38915,137499,16021.5,49215,14610,59142.5,3304,147899.5,80758.5,114601,28218.5,170356,18983,274964.5,25615,54350,14412.5,50493,42160.5,271876.5,16668.5,34035.5,16650,189869,37193,16168.5,16724,55067.5,22854,20515.5,24779.5,156617.5,61085.5,305058.5,202904.5,176365.5,27144.5,142734,28910,19307,17634,0,33169,376135.5,39144,18869.5,144775.5,49839.5,46788.5,49653.5,16407.5,16990.5,43181,16424,31433.5,14628,34016,413195.5,217733.5,51267.5,18289.5,26600,22157,79270.5,0,158206.5,16610.5,428221.5,0
OB_S426_A10000000_D100_R300_Taxator-tk,112093,190575,45266.5,378.5,913,0,598.5,1042.5,627.5,103.5,436734,995,151989,134348,20391.5,337.5,146840,6193.5,2206.5,2180.5,745,450.5,1474,0,1291.5,1502.5,240726,18385.5,0,125601,169,205,2130,1507.5,54895.5,1206830,1011.5,659,476,1750,25889.5,23601,227.5,127170,357,125493,1249,191751,1039,1245,771.5,13818.5,34419.5,119510,443,37901.5,289,51761,0,127604,71432,104858,21167,156578,1412,260771,585.5,2258,270,2563,896,54250,3349,13728,507.5,165735,1095,270,1561.5,48117.5,1077.5,2006.5,1807.5,0,44782.5,283707,96856.5,133998,1329.5,58870.5,1159,643,600.5,0,782.5,352839,15019,428,128752,31190.5,29044,1359.5,786,410.5,34045,919,21471,247,24957.5,389120,208448,44820,581,2370.5,1409.5,23143,0,115779,627,126720,0
OB_S426_A10000000_D100_R75_Centrifuge,95254.5,237034,41178.5,9225,19123,0,7277,13712.5,7697,6092.5,597678,16667.5,105427,75633.5,28352,10379,159472,62271,25194.5,19864.5,7940.5,7644.5,10052.5,0,10743.5,20936,234459,28237,0,87584,6244.5,0,26526,14036.5,61042,1166310,16792.5,7582.5,6993,10198.5,17305.5,25112,6685.5,115469,8441.5,70541.5,14125,221414,10678.5,30909,8367.5,30473.5,21423,176346,8231.5,48416.5,7577.5,43851.5,0,163720,66561,158794,19498.5,205260,9715.5,299798,12746.5,27366,7184,50579.5,21147.5,144632,15944,33255,10251.5,190515,18770,7857,8512,42196,11371,10893,12302.5,139734,41718,349850,101728,110574,0,82717,14449.5,9829,8981,0,16531,248312,34924.5,10159.5,75119.5,53844.5,43593,69521.5,0,8699.5,37862.5,10227.5,22356.5,8489.5,20760,322890,188882,33141,9494,13419,11045,50936,0,79895.5,8271,217323,0
OB_S426_A10000000_D100_R75_Kraken,157832,209819,51283,18058,38029,0,14506,27419,15337,12181,802740,33207,127017,145375,34233,20685,63682,64019,50328,39729,15857,15267,20101,0,21484,41817,249375,36227,0,134081,12489,0,52004,28073,69790,397432,33582,15059,13925,20497,34210,39026,13177,132998,16028,126977,28222,119574,21353,30865,15979,36321,38300,96528,15937,48689,14437,58332,0,36648,80145,114744,28238,164548,19409,275955,25486,54720,14332,50744,42268,272760,0,31583,15890,46728,37189,15713,17023,54133,22690,21171,24401,42309,61439,302301,201407,174878,0,141555,28838,19631,17946,0,33061,64629,38557,19263,144409,15544,19667,38832,0,16902,43057,15752,31239,14897,33760,403983,42522,50690,18503,26381,22083,5821,0,158661,16520,7424,0
OB_S426_A10000000_D100_R75_MetaPhlan2,33870,81463,85665,90581,0,0,87960,0,0,90661,217197,87718,70987,88941,111939,84221,85392,98046,13774,0,87030,87828,86771,0,89610,0,82168,86468,0,55552,0,0,100598,88141,89675,81770,87746,0,0,0,68605,0,0,81610,82349,77087,0,79780,0,90327,90554,452788,0,97268,78986,86007,92429,76617,524308,81844,79782,84474,76902,0,90849,63815,0,0,0,93546,0,89281,91568,357046,507104,98093,35436,0,85510,86827,88729,0,44966,88716,86272,81950,37491,57564,0,20896,86444,86817,85020,0,0,86137,87866,69371,0,90137,120077,0,0,101475,0,0,90647,168521,78040,86764,87864,73408,99447,0,88342,88442,0,0,53585,88424,0
OB_S426_A10000000_D100_R75_PathoScope2,159061.5,210959.5,51500.5,17927.5,38002,52317.5,14487.5,27418,15236,12175,758537,33093.5,158830,150967,37967,20620,167430.5,63970.5,50297,39726.5,15887,15229,20095,48237,21483.5,41770,249519.5,36178.5,0,133788.5,12471.5,19461,51897.5,28075,70241.5,1252960,33569.5,14902,13809,19222.5,34379,38996.5,13089,133739.5,15795.5,127001.5,28224.5,207196,21345.5,31336.5,15993,36275,38154,139436,15672.5,49185,14204.5,59138,2812,148188,80238,114382,28147.5,170824,19399.5,275857,25480.5,54728,14271,50730.5,42237.5,272662,16321,32531,14411.5,194633.5,37154.5,15712,17003.5,54877.5,22681.5,21077,24449,156404,61283.5,305467,201436,175456.5,26628.5,141717,28827.5,19586,17946.5,0,33048.5,378417.5,38707,18989.5,144299.5,49957.5,44555.5,55446,16239,16734.5,39388.5,15439.5,31176.5,14224,33892.5,415643.5,218107,50600.5,18632,26169,22065,79737.5,0,158762,16505,426687.5,0
OB_S426_A10000000_D100_R75_Taxator-tk,59137,142216,27737,155.5,295,0,267,486.5,267.5,31.5,217314,453,130248,92432.5,8284,142,109106,4374,808.5,1111,345,169.5,682,0,617,655,201628,8369.5,0,103548,53,68.5,942.5,432.5,29467.5,1103700,376,282,240,853,13327,12289.5,61.5,110886,126.5,118608,612,144799,436.5,448,329,5929.5,21178,71540.5,138.5,19858.5,132.5,39166,0,73785,59536,77680,11862,109584,726,208116,301.5,818,111,889,377,16188,1384.5,3800,260,84847,294.5,86,749,30048,505,1097,766.5,0,21380,223920,41754,86203.5,527.5,31683.5,387,247,219,0,261.5,240005,7374.5,183,98258,14552,15271,276,388.5,222.5,16385,507.5,9178.5,123.5,13990,278262,158092,32231.5,275.5,1461.5,559.5,7668.5,0,73666.5,267.5,44070.5,0
OB_S426_A10000000_D100_Rall,70422,164318,70422,23474,46948,46948,23474,23474,23474,23474,140844,23474,117370,234740,46948,23474,211266,46948,46948,23474,23474,23474,23474,117370,23474,23474,305162,46948,23474,70422,23474,23474,23474,23474,70422,751168,23474,23474,23474,23474,46948,70422,23474,211266,23474,234740,23474,117370,23474,46948,23474,46948,46948,117370,23474,70422,23474,93896,23474,140844,117370,117370,46948,211266,23474,281688,23474,23474,23474,46948,23474,187792,46948,46948,23474,258214,46948,23474,23474,70422,23474,46948,46948,187792,46948,140844,93896,117370,23474,164318,23474,23474,23474,23474,23474,399058,46948,23474,93896,70422,70422,70422,23474,23474,70422,23474,46948,23474,46948,586850,352110,70422,23474,23474,23474,211266,1000000,117370,23474,281688,0
OB_S10_A100000_D1_R1000_Centrifuge,0,0,0,0,0,0,0,0,0,0,54561,0,0,0,0,0,1021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,453.5,0,0,0,0,0,0,0,0,0,335,0,0,0,0,0,0,0,0,0,0,0,2922.5,0,2236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,258,0,0,5760,0,0,0,0,0,0,0,0,0,0,0,0,1873.5,0,0,0,0,0,0,0,0,0
OB_S10_A100000_D1_R1000_Kraken,0,0,0,0,0,0,0,0,0,0,84029,0,0,0,0,0,532,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,276,0,0,0,0,0,0,0,0,0,605,0,0,0,0,0,0,0,0,0,0,0,1641,0,4473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3160,0,0,0,0,0,0,0,0,0
OB_S10_A100000_D1_R1000_MetaPhlan2,0,0,0,0,0,0,0,0,0,0,78561.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12957.3,0,0,0,0,0,0,0,0,0
OB_S10_A100000_D1_R1000_PathoScope2,0,0,0,0,0,0,0,0,0,0,82778,0,0,0,0,0,1046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,293.5,0,0,0,0,0,0,0,0,0,608.5,0,0,0,0,0,0,0,0,0,0,0,2690,0,4473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11505,0,0,0,0,0,0,0,0,0,0,0,0,3164.5,0,0,0,0,0,0,0,0,0
OB_S10_A100000_D1_R1000_Taxator-tk,0,0,0,0,0,0,0,0,0,0,18217,0,0,0,0,0,978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,271,0,0,0,0,0,0,0,0,0,561,0,0,0,0,0,0,0,0,0,0,0,2480,0,123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,260,0,0,10532,0,0,0,0,0,0,0,0,0,0,0,0,2885,0,0,0,0,0,0,0,0,0
OB_S10_A100000_D1_R150_Centrifuge,0,0,0,0,0,0,0,0,0,0,47660.5,0,0,0,0,0,1076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,531.5,0,0,0,0,0,0,0,0,0,375,0,0,0,0,0,0,0,0,0,0,0,2916,0,2215.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,264.5,0,0,5709,0,0,0,0,0,0,0,0,0,0,0,0,1923,0,0,0,0,0,0,0,0,0
OB_S10_A100000_D1_R150_Kraken,0,0,0,0,0,0,0,0,0,0,83510,0,0,0,0,0,434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,296,0,0,0,0,0,0,0,0,0,636,0,0,0,0,0,0,0,0,0,0,0,1290,0,4431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3085,0,0,0,0,0,0,0,0,0
OB_S10_A100000_D1_R150_MetaPhlan2,0,0,0,0,0,0,0,0,0,0,69078.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1304.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10520.6,0,0,0,0,0,0,0,0,0
OB_S10_A100000_D1_R150_PathoScope2,0,0,0,0,0,0,0,0,0,0,82459.5,0,0,0,0,0,1053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,336,0,0,0,0,0,0,0,0,0,645.5,0,0,0,0,0,0,0,0,0,0,0,2677,0,4431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,275,0,0,11363,0,0,0,0,0,0,0,0,0,0,0,0,3092.5,0,0,0,0,0,0,0,0,0
OB_S10_A100000_D1_R150_Taxator-tk,0,0,0,0,0,0,0,0,0,0,8081,0,0,0,0,0,867,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,242,0,0,0,0,0,0,0,0,0,541,0,0,0,0,0,0,0,0,0,0,0,1887,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,221,0,0,9008,0,0,0,0,0,0,0,0,0,0,0,0,2507,0,0,0,0,0,0,0,0,0
OB_S10_A100000_D1_R300_Centrifuge,0,0,0,0,0,0,0,0,0,0,51207.5,0,0,0,0,0,1045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,476,0,0,0,0,0,0,0,0,0,317.5,0,0,0,0,0,0,0,0,0,0,0,2844.5,0,2243.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,284,0,0,5719,0,0,0,0,0,0,0,0,0,0,0,0,1880,0,0,0,0,0,0,0,0,0
OB_S10_A100000_D1_R300_Kraken,0,0,0,0,0,0,0,0,0,0,84076,0,0,0,0,0,556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,288,0,0,0,0,0,0,0,0,0,588,0,0,0,0,0,0,0,0,0,0,0,1535,0,4487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3136,0,0,0,0,0,0,0,0,0
OB_S10_A100000_D1_R300_MetaPhlan2,0,0,0,0,0,0,0,0,0,0,74458,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,526.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12454.7,0,0,0,0,0,0,0,0,0
