FPR,TPR,Organism,Species,Abundance,Dominance,Read Length,Software
0.00261097,0.897436,OB,S100,A100000,D10,R75,Kraken
0.0128535,0.860465,OB,S100,A100000,D10,R1000,MetaMix*
0.00775194,0.866667,OB,S100,A100000,D10,R150,MetaMix*
0.00775194,0.866667,OB,S100,A100000,D10,R300,MetaMix*
0.00518135,0.869565,OB,S100,A100000,D10,R75,MetaMix*
0.0342298,0.354839,OB,S100,A100000,D10,R1000,MetaPhlan2
0.0125,0.459459,OB,S100,A100000,D10,R150,MetaPhlan2
0.0174129,0.428571,OB,S100,A100000,D10,R300,MetaPhlan2
0.0125,0.444444,OB,S100,A100000,D10,R75,MetaPhlan2
0.0741627,0.466667,OB,S100,A100000,D10,R1000,PathoScope2
0.0420792,0.714286,OB,S100,A100000,D10,R150,PathoScope2
0.0127551,0.8,OB,S100,A100000,D10,R300,PathoScope2
0,0.826087,OB,S100,A100000,D10,R75,PathoScope2
0.0101523,0.674419,OB,S100,A100000,D10,R1000,Sigma
0.0101523,0.674419,OB,S100,A100000,D10,R150,Sigma
0.0101523,0.674419,OB,S100,A100000,D10,R300,Sigma
0.00763359,0.688889,OB,S100,A100000,D10,R75,Sigma
0.104439,0.862069,OB,S100,A100000,D10,R1000,Taxator-tk
0.104439,0.818182,OB,S100,A100000,D10,R150,Taxator-tk
0.104439,0.84,OB,S100,A100000,D10,R300,Taxator-tk
0.104439,0.764706,OB,S100,A100000,D10,R75,Taxator-tk
0.0863874,0.892857,OB,S100,A100000,D50,R1000,Centrifuge
0.0863874,0.90625,OB,S100,A100000,D50,R150,Centrifuge
0.0863874,0.896552,OB,S100,A100000,D50,R300,Centrifuge
0.0863874,0.911765,OB,S100,A100000,D50,R75,Centrifuge
0.0245098,0.405405,OB,S100,A100000,D50,R1000,Constrains
0.00995025,0.47619,OB,S100,A100000,D50,R150,Constrains
0.00995025,0.47619,OB,S100,A100000,D50,R300,Constrains
0.0074813,0.488372,OB,S100,A100000,D50,R75,Constrains
0.00261097,0.902439,OB,S100,A100000,D50,R1000,Kraken
0.00261097,0.897436,OB,S100,A100000,D50,R150,Kraken
0.00261097,0.9,OB,S100,A100000,D50,R300,Kraken
0.00261097,0.894737,OB,S100,A100000,D50,R75,Kraken
0.0128535,0.853659,OB,S100,A100000,D50,R1000,MetaMix*
0.0128535,0.857143,OB,S100,A100000,D50,R150,MetaMix*
0.00775194,0.860465,OB,S100,A100000,D50,R300,MetaMix*
0.0204082,0.842105,OB,S100,A100000,D50,R75,MetaMix*
0.0245098,0.3125,OB,S100,A100000,D50,R1000,MetaPhlan2
0.00995025,0.421053,OB,S100,A100000,D50,R150,MetaPhlan2
0.00995025,0.388889,OB,S100,A100000,D50,R300,MetaPhlan2
0.0074813,0.421053,OB,S100,A100000,D50,R75,MetaPhlan2
0.00510204,0.731707,OB,S100,A100000,D50,R1000,PathoScope2
0.025,0.694444,OB,S100,A100000,D50,R150,PathoScope2
0.025,0.694444,OB,S100,A100000,D50,R300,PathoScope2
0.025,0.694444,OB,S100,A100000,D50,R75,PathoScope2
0.0101523,0.674419,OB,S100,A100000,D50,R1000,Sigma
0.0101523,0.666667,OB,S100,A100000,D50,R150,Sigma
0.0101523,0.674419,OB,S100,A100000,D50,R300,Sigma
0.00763359,0.674419,OB,S100,A100000,D50,R75,Sigma
0.101828,0.866667,OB,S100,A100000,D50,R1000,Taxator-tk
0.101828,0.818182,OB,S100,A100000,D50,R150,Taxator-tk
0.101828,0.846154,OB,S100,A100000,D50,R300,Taxator-tk
0.104167,0.777778,OB,S100,A100000,D50,R75,Taxator-tk
0.0863874,0.903226,OB,S100,A100000,D100,R1000,Centrifuge
0.0863874,0.903226,OB,S100,A100000,D100,R150,Centrifuge
0.0863874,0.903226,OB,S100,A100000,D100,R300,Centrifuge
0.0863874,0.914286,OB,S100,A100000,D100,R75,Centrifuge
0.0320988,0.515152,OB,S100,A100000,D100,R1000,Constrains
0.0125945,0.567568,OB,S100,A100000,D100,R150,Constrains
0.02,0.555556,OB,S100,A100000,D100,R300,Constrains
0.00759494,0.578947,OB,S100,A100000,D100,R75,Constrains
0.00261097,0.902439,OB,S100,A100000,D100,R1000,Kraken
0.00261097,0.9,OB,S100,A100000,D100,R150,Kraken
0.00261097,0.902439,OB,S100,A100000,D100,R300,Kraken
0.00261097,0.897436,OB,S100,A100000,D100,R75,Kraken
0.00518135,0.869565,OB,S100,A100000,D100,R1000,MetaMix*
0.00518135,0.866667,OB,S100,A100000,D100,R150,MetaMix*
0.00518135,0.869565,OB,S100,A100000,D100,R300,MetaMix*
0.00518135,0.869565,OB,S100,A100000,D100,R75,MetaMix*
0.0320988,0.466667,OB,S100,A100000,D100,R1000,MetaPhlan2
0.0125945,0.515152,OB,S100,A100000,D100,R150,MetaPhlan2
0.02,0.5,OB,S100,A100000,D100,R300,MetaPhlan2
0.00759494,0.529412,OB,S100,A100000,D100,R75,MetaPhlan2
0.0722892,0.647059,OB,S100,A100000,D100,R1000,PathoScope2
0,0.87234,OB,S100,A100000,D100,R150,PathoScope2
0,0.87234,OB,S100,A100000,D100,R300,PathoScope2
0,0.869565,OB,S100,A100000,D100,R75,PathoScope2
0.00507614,0.674419,OB,S100,A100000,D100,R1000,Sigma
0.00507614,0.688889,OB,S100,A100000,D100,R150,Sigma
0.00507614,0.674419,OB,S100,A100000,D100,R300,Sigma
0.00254453,0.688889,OB,S100,A100000,D100,R75,Sigma
0.101828,0.866667,OB,S100,A100000,D100,R1000,Taxator-tk
0.101828,0.826087,OB,S100,A100000,D100,R150,Taxator-tk
0.101828,0.846154,OB,S100,A100000,D100,R300,Taxator-tk
0.101828,0.777778,OB,S100,A100000,D100,R75,Taxator-tk
0.13089,0.842105,OB,S100,A1000000,D1,R1000,Centrifuge
0.13089,0.863636,OB,S100,A1000000,D1,R150,Centrifuge
0.13089,0.842105,OB,S100,A1000000,D1,R300,Centrifuge
0.13089,0.857143,OB,S100,A1000000,D1,R75,Centrifuge
0.0176768,0.627907,OB,S100,A1000000,D1,R1000,Constrains
0.0151899,0.627907,OB,S100,A1000000,D1,R150,Constrains
0.0176768,0.627907,OB,S100,A1000000,D1,R300,Constrains
0.0151899,0.627907,OB,S100,A1000000,D1,R75,Constrains
0.00261097,0.866667,OB,S100,A1000000,D1,R1000,Kraken
0.00261097,0.866667,OB,S100,A1000000,D1,R150,Kraken
0.00261097,0.862069,OB,S100,A1000000,D1,R300,Kraken
0.00261097,0.857143,OB,S100,A1000000,D1,R75,Kraken
0.0103627,0.885714,OB,S100,A1000000,D1,R1000,MetaMix*
0.00779221,0.888889,OB,S100,A1000000,D1,R150,MetaMix*
0.0129199,0.875,OB,S100,A1000000,D1,R300,MetaMix*
0.0103627,0.878788,OB,S100,A1000000,D1,R75,MetaMix*
0.0176768,0.555556,OB,S100,A1000000,D1,R1000,MetaPhlan2
0.0151899,0.555556,OB,S100,A1000000,D1,R150,MetaPhlan2
0.0176768,0.555556,OB,S100,A1000000,D1,R300,MetaPhlan2
0.0176768,0.529412,OB,S100,A1000000,D1,R75,MetaPhlan2
0.0813397,0.5,OB,S100,A1000000,D1,R1000,PathoScope2
0.0103093,0.818182,OB,S100,A1000000,D1,R150,PathoScope2
0.00518135,0.818182,OB,S100,A1000000,D1,R300,PathoScope2
0.0128535,0.8,OB,S100,A1000000,D1,R75,PathoScope2
0.00507614,0.575758,OB,S100,A1000000,D1,R1000,Sigma
0.00507614,0.6,OB,S100,A1000000,D1,R150,Sigma
0.00507614,0.575758,OB,S100,A1000000,D1,R300,Sigma
0.00254453,0.621622,OB,S100,A1000000,D1,R75,Sigma
0.104439,0.789474,OB,S100,A1000000,D1,R1000,Taxator-tk
0.104439,0.714286,OB,S100,A1000000,D1,R150,Taxator-tk
0.104439,0.764706,OB,S100,A1000000,D1,R300,Taxator-tk
0.104439,0.636364,OB,S100,A1000000,D1,R75,Taxator-tk
0.140992,0.903226,OB,S100,A1000000,D10,R1000,Centrifuge
0.138743,0.90625,OB,S100,A1000000,D10,R150,Centrifuge
0.138743,0.903226,OB,S100,A1000000,D10,R300,Centrifuge
0.138743,0.914286,OB,S100,A1000000,D10,R75,Centrifuge
0.0178571,0.72093,OB,S100,A1000000,D10,R1000,Constrains
0.0153453,0.72093,OB,S100,A1000000,D10,R150,Constrains
0.0153453,0.714286,OB,S100,A1000000,D10,R300,Constrains
0.0153453,0.714286,OB,S100,A1000000,D10,R75,Constrains
0.00520833,0.897436,OB,S100,A1000000,D10,R1000,Kraken
0.00261097,0.897436,OB,S100,A1000000,D10,R150,Kraken
0.00261097,0.9,OB,S100,A1000000,D10,R300,Kraken
0.00261097,0.897436,OB,S100,A1000000,D10,R75,Kraken
0.0103896,0.931818,OB,S100,A1000000,D10,R1000,MetaMix*
0.0078125,0.930233,OB,S100,A1000000,D10,R150,MetaMix*
0.0103896,0.931818,OB,S100,A1000000,D10,R300,MetaMix*
0.0103896,0.930233,OB,S100,A1000000,D10,R75,MetaMix*
0.0178571,0.675676,OB,S100,A1000000,D10,R1000,MetaPhlan2
0.0153453,0.636364,OB,S100,A1000000,D10,R150,MetaPhlan2
0.0153453,0.647059,OB,S100,A1000000,D10,R300,MetaPhlan2
0.0153453,0.647059,OB,S100,A1000000,D10,R75,MetaPhlan2
0.0609756,0.681818,OB,S100,A1000000,D10,R1000,PathoScope2
0.0128205,0.833333,OB,S100,A1000000,D10,R150,PathoScope2
0.00773196,0.837209,OB,S100,A1000000,D10,R300,PathoScope2
0.0203562,0.820513,OB,S100,A1000000,D10,R75,PathoScope2
0.00761421,0.674419,OB,S100,A1000000,D10,R1000,Sigma
0.00761421,0.681818,OB,S100,A1000000,D10,R150,Sigma
0.00761421,0.674419,OB,S100,A1000000,D10,R300,Sigma
0.00508906,0.681818,OB,S100,A1000000,D10,R75,Sigma
0.104167,0.83871,OB,S100,A1000000,D10,R1000,Taxator-tk
0.104167,0.791667,OB,S100,A1000000,D10,R150,Taxator-tk
0.104167,0.821429,OB,S100,A1000000,D10,R300,Taxator-tk
0.104167,0.736842,OB,S100,A1000000,D10,R75,Taxator-tk
0.138743,0.9,OB,S100,A1000000,D50,R1000,Centrifuge
0.138743,0.903226,OB,S100,A1000000,D50,R150,Centrifuge
0.138743,0.9,OB,S100,A1000000,D50,R300,Centrifuge
0.138743,0.911765,OB,S100,A1000000,D50,R75,Centrifuge
0.0178117,0.690476,OB,S100,A1000000,D50,R1000,Constrains
0.0178117,0.682927,OB,S100,A1000000,D50,R150,Constrains
0.0178117,0.682927,OB,S100,A1000000,D50,R300,Constrains
0.0153061,0.682927,OB,S100,A1000000,D50,R75,Constrains
0.00261097,0.904762,OB,S100,A1000000,D50,R1000,Kraken
0.00261097,0.897436,OB,S100,A1000000,D50,R150,Kraken
0.00261097,0.904762,OB,S100,A1000000,D50,R300,Kraken
0.00261097,0.894737,OB,S100,A1000000,D50,R75,Kraken
0.012987,0.952381,OB,S100,A1000000,D50,R1000,MetaMix*
0.0104167,0.954545,OB,S100,A1000000,D50,R150,MetaMix*
0.012987,0.952381,OB,S100,A1000000,D50,R300,MetaMix*
0.0104167,0.953488,OB,S100,A1000000,D50,R75,MetaMix*
0.0178117,0.59375,OB,S100,A1000000,D50,R1000,MetaPhlan2
0.0178117,0.59375,OB,S100,A1000000,D50,R150,MetaPhlan2
0.0178117,0.59375,OB,S100,A1000000,D50,R300,MetaPhlan2
0.0153061,0.59375,OB,S100,A1000000,D50,R75,MetaPhlan2
0.02457,0.513514,OB,S100,A1000000,D50,R1000,PathoScope2
0.00501253,0.6,OB,S100,A1000000,D50,R150,PathoScope2
0.00501253,0.6,OB,S100,A1000000,D50,R300,PathoScope2
0.0075,0.590909,OB,S100,A1000000,D50,R75,PathoScope2
0.00507614,0.674419,OB,S100,A1000000,D50,R1000,Sigma
0.00507614,0.681818,OB,S100,A1000000,D50,R150,Sigma
0.00507614,0.674419,OB,S100,A1000000,D50,R300,Sigma
0.00254453,0.681818,OB,S100,A1000000,D50,R75,Sigma
0.104439,0.862069,OB,S100,A1000000,D50,R1000,Taxator-tk
0.104439,0.826087,OB,S100,A1000000,D50,R150,Taxator-tk
0.104439,0.846154,OB,S100,A1000000,D50,R300,Taxator-tk
0.104439,0.777778,OB,S100,A1000000,D50,R75,Taxator-tk
0.138743,0.903226,OB,S100,A1000000,D100,R1000,Centrifuge
0.138743,0.90625,OB,S100,A1000000,D100,R150,Centrifuge
0.138743,0.90625,OB,S100,A1000000,D100,R300,Centrifuge
0.138743,0.911765,OB,S100,A1000000,D100,R75,Centrifuge
0.0178571,0.72093,OB,S100,A1000000,D100,R1000,Constrains
0.0153453,0.714286,OB,S100,A1000000,D100,R150,Constrains
0.0153453,0.72093,OB,S100,A1000000,D100,R300,Constrains
0.0153453,0.714286,OB,S100,A1000000,D100,R75,Constrains
0.00261097,0.904762,OB,S100,A1000000,D100,R1000,Kraken
0.00261097,0.9,OB,S100,A1000000,D100,R150,Kraken
0.00261097,0.902439,OB,S100,A1000000,D100,R300,Kraken
0.00261097,0.897436,OB,S100,A1000000,D100,R75,Kraken
0.012987,0.953488,OB,S100,A1000000,D100,R1000,MetaMix*
0.00262467,0.955556,OB,S100,A1000000,D100,R150,MetaMix*
0.0104167,0.953488,OB,S100,A1000000,D100,R300,MetaMix*
0.015544,0.952381,OB,S100,A1000000,D100,R75,MetaMix*
0.0178571,0.675676,OB,S100,A1000000,D100,R1000,MetaPhlan2
0.0153453,0.647059,OB,S100,A1000000,D100,R150,MetaPhlan2
0.0153453,0.647059,OB,S100,A1000000,D100,R300,MetaPhlan2
0.0153453,0.647059,OB,S100,A1000000,D100,R75,MetaPhlan2
0.0612745,0.809524,OB,S100,A1000000,D100,R1000,PathoScope2
0.00260417,0.913043,OB,S100,A1000000,D100,R150,PathoScope2
0.00260417,0.913043,OB,S100,A1000000,D100,R300,PathoScope2
0.00519481,0.909091,OB,S100,A1000000,D100,R75,PathoScope2
0.00761421,0.674419,OB,S100,A1000000,D100,R1000,Sigma
0.00761421,0.688889,OB,S100,A1000000,D100,R150,Sigma
0.00761421,0.674419,OB,S100,A1000000,D100,R300,Sigma
0.00508906,0.688889,OB,S100,A1000000,D100,R75,Sigma
0.104439,0.862069,OB,S100,A1000000,D100,R1000,Taxator-tk
0.104439,0.826087,OB,S100,A1000000,D100,R150,Taxator-tk
0.104439,0.846154,OB,S100,A1000000,D100,R300,Taxator-tk
0.104439,0.777778,OB,S100,A1000000,D100,R75,Taxator-tk
0.151832,0.842105,OB,S100,A10000000,D1,R1000,Centrifuge
0.151832,0.869565,OB,S100,A10000000,D1,R150,Centrifuge
0.151832,0.842105,OB,S100,A10000000,D1,R300,Centrifuge
0.151832,0.863636,OB,S100,A10000000,D1,R75,Centrifuge
0.0204604,0.727273,OB,S100,A10000000,D1,R1000,Constrains
0.0204604,0.727273,OB,S100,A10000000,D1,R150,Constrains
0.0204604,0.727273,OB,S100,A10000000,D1,R300,Constrains
0.0204604,0.727273,OB,S100,A10000000,D1,R75,Constrains
0.00522193,0.870968,OB,S100,A10000000,D1,R1000,Kraken
0.00522193,0.870968,OB,S100,A10000000,D1,R150,Kraken
0.00522193,0.870968,OB,S100,A10000000,D1,R300,Kraken
0.00522193,0.866667,OB,S100,A10000000,D1,R75,Kraken
0.0204604,0.684211,OB,S100,A10000000,D1,R1000,MetaPhlan2
0.0204604,0.684211,OB,S100,A10000000,D1,R150,MetaPhlan2
0.0204604,0.684211,OB,S100,A10000000,D1,R300,MetaPhlan2
0.0204604,0.684211,OB,S100,A10000000,D1,R75,MetaPhlan2
0.0754258,0.833333,OB,S100,A10000000,D1,R1000,PathoScope2
0.012987,0.9375,OB,S100,A10000000,D1,R150,PathoScope2
0.0104167,0.942857,OB,S100,A10000000,D1,R300,PathoScope2
0.00262467,0.944444,OB,S100,A10000000,D1,R75,PathoScope2
0.00507614,0.5625,OB,S100,A10000000,D1,R1000,Sigma
0.00507614,0.6,OB,S100,A10000000,D1,R150,Sigma
0.00507614,0.575758,OB,S100,A10000000,D1,R300,Sigma
0.00254453,0.621622,OB,S100,A10000000,D1,R75,Sigma
0.104439,0.789474,OB,S100,A10000000,D1,R1000,Taxator-tk
0.104439,0.714286,OB,S100,A10000000,D1,R150,Taxator-tk
0.104439,0.764706,OB,S100,A10000000,D1,R300,Taxator-tk
0.104439,0.636364,OB,S100,A10000000,D1,R75,Taxator-tk
0.157068,0.896552,OB,S100,A10000000,D10,R1000,Centrifuge
0.157068,0.9,OB,S100,A10000000,D10,R150,Centrifuge
0.157068,0.896552,OB,S100,A10000000,D10,R300,Centrifuge
0.157068,0.909091,OB,S100,A10000000,D10,R75,Centrifuge
0.0230179,0.727273,OB,S100,A10000000,D10,R1000,Constrains
0.0230179,0.727273,OB,S100,A10000000,D10,R150,Constrains
0.0230179,0.727273,OB,S100,A10000000,D10,R300,Constrains
0.0230179,0.727273,OB,S100,A10000000,D10,R75,Constrains
0.00522193,0.904762,OB,S100,A10000000,D10,R1000,Kraken
0.00522193,0.9,OB,S100,A10000000,D10,R150,Kraken
0.00522193,0.902439,OB,S100,A10000000,D10,R300,Kraken
0.00522193,0.9,OB,S100,A10000000,D10,R75,Kraken
0.0230179,0.684211,OB,S100,A10000000,D10,R1000,MetaPhlan2
0.0230179,0.666667,OB,S100,A10000000,D10,R150,MetaPhlan2
0.0230179,0.684211,OB,S100,A10000000,D10,R300,MetaPhlan2
0.0230179,0.657143,OB,S100,A10000000,D10,R75,MetaPhlan2
0.057072,0.913043,OB,S100,A10000000,D10,R1000,PathoScope2
0.00262467,0.955556,OB,S100,A10000000,D10,R150,PathoScope2
0.0428212,0.925926,OB,S100,A10000000,D10,R300,PathoScope2
0.00262467,0.955556,OB,S100,A10000000,D10,R75,PathoScope2
0.00761421,0.674419,OB,S100,A10000000,D10,R1000,Sigma
0.00761421,0.688889,OB,S100,A10000000,D10,R150,Sigma
0.00761421,0.674419,OB,S100,A10000000,D10,R300,Sigma
0.00508906,0.688889,OB,S100,A10000000,D10,R75,Sigma
0.104439,0.862069,OB,S100,A10000000,D10,R1000,Taxator-tk
0.104439,0.818182,OB,S100,A10000000,D10,R150,Taxator-tk
0.104439,0.84,OB,S100,A10000000,D10,R300,Taxator-tk
0.104439,0.764706,OB,S100,A10000000,D10,R75,Taxator-tk
0.162304,0.903226,OB,S100,A10000000,D50,R1000,Centrifuge
0.162304,0.90625,OB,S100,A10000000,D50,R150,Centrifuge
0.162304,0.903226,OB,S100,A10000000,D50,R300,Centrifuge
0.162304,0.911765,OB,S100,A10000000,D50,R75,Centrifuge
0.0230179,0.72093,OB,S100,A10000000,D50,R1000,Constrains
0.0230179,0.72093,OB,S100,A10000000,D50,R150,Constrains
0.0230179,0.72093,OB,S100,A10000000,D50,R300,Constrains
0.0230179,0.72093,OB,S100,A10000000,D50,R75,Constrains
0.00522193,0.9,OB,S100,A10000000,D50,R1000,Kraken
0.00522193,0.897436,OB,S100,A10000000,D50,R150,Kraken
0.00522193,0.9,OB,S100,A10000000,D50,R300,Kraken
0.00522193,0.897436,OB,S100,A10000000,D50,R75,Kraken
0.0230179,0.666667,OB,S100,A10000000,D50,R1000,MetaPhlan2
0.0230179,0.647059,OB,S100,A10000000,D50,R150,MetaPhlan2
0.0230179,0.647059,OB,S100,A10000000,D50,R300,MetaPhlan2
0.0230179,0.647059,OB,S100,A10000000,D50,R75,MetaPhlan2
0.0617284,0.913043,OB,S100,A10000000,D50,R1000,PathoScope2
0.00262467,0.955556,OB,S100,A10000000,D50,R150,PathoScope2
0.0330789,0.941176,OB,S100,A10000000,D50,R300,PathoScope2
0.00262467,0.955556,OB,S100,A10000000,D50,R75,PathoScope2
0,0.659091,OB,S100,A10000000,D50,R1000,Sigma
0.064133,0.25,OB,S100,A10000000,D50,R150,Sigma
0,0.659091,OB,S100,A10000000,D50,R300,Sigma
0.0596659,0.318182,OB,S100,A10000000,D50,R75,Sigma
0.104439,0.862069,OB,S100,A10000000,D50,R1000,Taxator-tk
0.104439,0.826087,OB,S100,A10000000,D50,R150,Taxator-tk
0.104439,0.846154,OB,S100,A10000000,D50,R300,Taxator-tk
0.104439,0.789474,OB,S100,A10000000,D50,R75,Taxator-tk
0.159686,0.903226,OB,S100,A10000000,D100,R1000,Centrifuge
0.159686,0.90625,OB,S100,A10000000,D100,R150,Centrifuge
0.159686,0.903226,OB,S100,A10000000,D100,R300,Centrifuge
0.159686,0.911765,OB,S100,A10000000,D100,R75,Centrifuge
0.0230179,0.727273,OB,S100,A10000000,D100,R1000,Constrains
0.0230179,0.72093,OB,S100,A10000000,D100,R150,Constrains
0.0230179,0.727273,OB,S100,A10000000,D100,R300,Constrains
0.0230179,0.72093,OB,S100,A10000000,D100,R75,Constrains
0.00522193,0.904762,OB,S100,A10000000,D100,R1000,Kraken
0.00522193,0.9,OB,S100,A10000000,D100,R150,Kraken
0.00522193,0.902439,OB,S100,A10000000,D100,R300,Kraken
0.00522193,0.897436,OB,S100,A10000000,D100,R75,Kraken
0.0230179,0.675676,OB,S100,A10000000,D100,R1000,MetaPhlan2
0.0230179,0.647059,OB,S100,A10000000,D100,R150,MetaPhlan2
0.0230179,0.647059,OB,S100,A10000000,D100,R300,MetaPhlan2
0.0230179,0.647059,OB,S100,A10000000,D100,R75,MetaPhlan2
0.0428212,0.931034,OB,S100,A10000000,D100,R1000,PathoScope2
0.00262467,0.955556,OB,S100,A10000000,D100,R150,PathoScope2
0.00262467,0.955556,OB,S100,A10000000,D100,R300,PathoScope2
0.00262467,0.955556,OB,S100,A10000000,D100,R75,PathoScope2
0.00253807,0.659091,OB,S100,A10000000,D100,R1000,Sigma
0.0642857,0.285714,OB,S100,A10000000,D100,R150,Sigma
0.00253807,0.659091,OB,S100,A10000000,D100,R300,Sigma
0.0620525,0.318182,OB,S100,A10000000,D100,R75,Sigma
0.104439,0.862069,OB,S100,A10000000,D100,R1000,Taxator-tk
0.104439,0.826087,OB,S100,A10000000,D100,R150,Taxator-tk
0.104439,0.846154,OB,S100,A10000000,D100,R300,Taxator-tk
0.104439,0.777778,OB,S100,A10000000,D100,R75,Taxator-tk
0.0253165,0.780488,OB,S426,A100000,D1,R1000,Centrifuge
0.0222222,0.808511,OB,S426,A100000,D1,R150,Centrifuge
0.0222222,0.8,OB,S426,A100000,D1,R300,Centrifuge
0.0222222,0.823529,OB,S426,A100000,D1,R75,Centrifuge
0.00707547,0.0172414,OB,S426,A100000,D1,R1000,Constrains
0,0.0420168,OB,S426,A100000,D1,R150,Constrains
0.00472813,0.025641,OB,S426,A100000,D1,R300,Constrains
0.00236967,0.0338983,OB,S426,A100000,D1,R75,Constrains
0.022082,0.878049,OB,S426,A100000,D1,R1000,Kraken
0.0189873,0.875,OB,S426,A100000,D1,R150,Kraken
0.0189873,0.873418,OB,S426,A100000,D1,R300,Kraken
0.0189873,0.871795,OB,S426,A100000,D1,R75,Kraken
0.090411,0.658228,OB,S426,A100000,D1,R1000,MetaMix*
0.10992,0.597015,OB,S426,A100000,D1,R150,MetaMix*
0.100271,0.597015,OB,S426,A100000,D1,R300,MetaMix*
0.112299,0.557377,OB,S426,A100000,D1,R75,MetaMix*
0.00707547,0.017094,OB,S426,A100000,D1,R1000,MetaPhlan2
0,0.0416667,OB,S426,A100000,D1,R150,MetaPhlan2
0.00472813,0.0254237,OB,S426,A100000,D1,R300,MetaPhlan2
0.00236967,0.0336134,OB,S426,A100000,D1,R75,MetaPhlan2
0.0128617,0.962963,OB,S426,A100000,D1,R1000,PathoScope2
0.00647249,0.964286,OB,S426,A100000,D1,R150,PathoScope2
0.00647249,0.962963,OB,S426,A100000,D1,R300,PathoScope2
0.00647249,0.964706,OB,S426,A100000,D1,R75,PathoScope2
0,0.473118,OB,S426,A100000,D1,R1000,Sigma
0,0.473118,OB,S426,A100000,D1,R150,Sigma
0,0.443182,OB,S426,A100000,D1,R300,Sigma
0,0.5,OB,S426,A100000,D1,R75,Sigma
0.193846,0.709677,OB,S426,A100000,D1,R1000,Taxator-tk
0.20122,0.64,OB,S426,A100000,D1,R150,Taxator-tk
0.20122,0.709677,OB,S426,A100000,D1,R300,Taxator-tk
0.222552,0.55,OB,S426,A100000,D1,R75,Taxator-tk
0.0222222,0.859375,OB,S426,A100000,D10,R1000,Centrifuge
0.0222222,0.867647,OB,S426,A100000,D10,R150,Centrifuge
0.0222222,0.863636,OB,S426,A100000,D10,R300,Centrifuge
0.0222222,0.878378,OB,S426,A100000,D10,R75,Centrifuge
0.0889423,0.0864198,OB,S426,A100000,D10,R1000,Constrains
0.0380711,0.237113,OB,S426,A100000,D10,R150,Constrains
0.0641975,0.177778,OB,S426,A100000,D10,R300,Constrains
0.00524934,0.27451,OB,S426,A100000,D10,R75,Constrains
0.0189873,0.907407,OB,S426,A100000,D10,R1000,Kraken
0.0189873,0.906542,OB,S426,A100000,D10,R150,Kraken
0.0189873,0.909091,OB,S426,A100000,D10,R300,Kraken
0.0189873,0.907407,OB,S426,A100000,D10,R75,Kraken
0.0878187,0.797753,OB,S426,A100000,D10,R1000,MetaMix*
0.0747126,0.804348,OB,S426,A100000,D10,R150,MetaMix*
0.0557185,0.823529,OB,S426,A100000,D10,R300,MetaMix*
0.0693642,0.810526,OB,S426,A100000,D10,R75,MetaMix*
0.0889423,0.0641026,OB,S426,A100000,D10,R1000,MetaPhlan2
0.0331633,0.206522,OB,S426,A100000,D10,R150,MetaPhlan2
0.0641975,0.141176,OB,S426,A100000,D10,R300,MetaPhlan2
0,0.247423,OB,S426,A100000,D10,R75,MetaPhlan2
0.0640244,0.967391,OB,S426,A100000,D10,R1000,PathoScope2
0.00647249,0.973214,OB,S426,A100000,D10,R150,PathoScope2
0.00647249,0.973913,OB,S426,A100000,D10,R300,PathoScope2
0.00647249,0.973684,OB,S426,A100000,D10,R75,PathoScope2
0,0.578947,OB,S426,A100000,D10,R1000,Sigma
0,0.582609,OB,S426,A100000,D10,R150,Sigma
0,0.582609,OB,S426,A100000,D10,R300,Sigma
0,0.578947,OB,S426,A100000,D10,R75,Sigma
0.177778,0.84,OB,S426,A100000,D10,R1000,Taxator-tk
0.190625,0.8,OB,S426,A100000,D10,R150,Taxator-tk
0.177778,0.813953,OB,S426,A100000,D10,R300,Taxator-tk
0.195652,0.733333,OB,S426,A100000,D10,R75,Taxator-tk
0.0222222,0.854839,OB,S426,A100000,D50,R1000,Centrifuge
0.0222222,0.861538,OB,S426,A100000,D50,R150,Centrifuge
0.0222222,0.854839,OB,S426,A100000,D50,R300,Centrifuge
0.0222222,0.876712,OB,S426,A100000,D50,R75,Centrifuge
0.0891566,0.101266,OB,S426,A100000,D50,R1000,Constrains
0.015625,0.27551,OB,S426,A100000,D50,R150,Constrains
0.0332481,0.244681,OB,S426,A100000,D50,R300,Constrains
0.00263852,0.32381,OB,S426,A100000,D50,R75,Constrains
0.0189873,0.908257,OB,S426,A100000,D50,R1000,Kraken
0.0189873,0.906542,OB,S426,A100000,D50,R150,Kraken
0.0189873,0.907407,OB,S426,A100000,D50,R300,Kraken
0.0189873,0.906542,OB,S426,A100000,D50,R75,Kraken
0.0489914,0.75,OB,S426,A100000,D50,R1000,MetaMix*
0.0544413,0.74,OB,S426,A100000,D50,R150,MetaMix*
0.0782123,0.72043,OB,S426,A100000,D50,R300,MetaMix*
0.0406977,0.745098,OB,S426,A100000,D50,R75,MetaMix*
0.0891566,0.1,OB,S426,A100000,D50,R1000,MetaPhlan2
0.015625,0.234043,OB,S426,A100000,D50,R150,MetaPhlan2
0.0332481,0.234043,OB,S426,A100000,D50,R300,MetaPhlan2
0.00526316,0.242105,OB,S426,A100000,D50,R75,MetaPhlan2
0.102339,0.961039,OB,S426,A100000,D50,R1000,PathoScope2
0.00647249,0.960526,OB,S426,A100000,D50,R150,PathoScope2
